GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSV001,GSV002,GSV003,GSV004,GSX001,GSX002,GSX003,GSX004
"G1301030","2000","US","3","5","Georgia","13","Effingham","103",,,,,"0",,,,,,,,,,,,,"7520","99","N","9999","9999","9",,,,,,,,,"1241677488","8817701","Effingham County","A","+32340699","-081329476","06",,,78,34,44,83,71,7,33,11
"G1301050","2000","US","3","5","Georgia","13","Elbert","105",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"955071595","14971054","Elbert County","A","+34129674","-082874725","06",,,138,50,50,68,127,11,26,24
"G1301070","2000","US","3","5","Georgia","13","Emanuel","107",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1776185016","11754659","Emanuel County","A","+32591877","-082295417","06",,,415,46,71,59,415,0,69,2
"G1301090","2000","US","3","5","Georgia","13","Evans","109",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"478943937","5072138","Evans County","A","+32161606","-081907769","06",,,188,36,176,35,188,0,162,14
"G1301110","2000","US","3","5","Georgia","13","Fannin","111",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"999062000","14734795","Fannin County","A","+34886639","-084304223","06",,,67,11,9,24,67,0,9,0
"G1301130","2000","US","3","5","Georgia","13","Fayette","113",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"510355880","5697102","Fayette County","A","+33428956","-084505305","06",,,594,123,511,407,594,0,482,29
"G1301150","2000","US","3","5","Georgia","13","Floyd","115",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1329001018","13808242","Floyd County","A","+34254872","-085198384","06",,,1540,629,575,693,1437,103,542,33
"G1301170","2000","US","3","5","Georgia","13","Forsyth","117",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"584807414","55876126","Forsyth County","A","+34210436","-084121129","06",,,2134,476,682,603,2090,44,634,48
"G1301190","2000","US","3","5","Georgia","13","Franklin","119",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"681929947","7955593","Franklin County","A","+34378007","-083176830","06",,,44,12,15,30,14,30,15,0
"G1301210","2000","US","3","5","Georgia","13","Fulton","121",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"1369218041","15421403","Fulton County","A","+33779605","-084419327","06",,,18232,4485,7795,6228,16890,1313,7175,620
"G1301230","2000","US","3","5","Georgia","13","Gilmer","123",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1105114210","13322355","Gilmer County","A","+34680909","-084462723","06",,,709,164,169,190,684,25,155,14
"G1301250","2000","US","3","5","Georgia","13","Glascock","125",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"373322474","804001","Glascock County","A","+33230816","-082599894","06",,,4,3,3,3,4,0,0,3
"G1301270","2000","US","3","5","Georgia","13","Glynn","127",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1093928025","421657505","Glynn County","A","+31187633","-081496294","06",,,722,149,411,189,698,8,375,36
"G1301290","2000","US","3","5","Georgia","13","Gordon","129",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"920832558","6417197","Gordon County","A","+34498813","-084903478","06",,,1344,231,450,345,1283,61,377,73
"G1301310","2000","US","3","5","Georgia","13","Grady","131",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1186536922","5741618","Grady County","A","+30878254","-084230092","06",,,519,58,165,143,512,7,127,38
"G1301330","2000","US","3","5","Georgia","13","Greene","133",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1005631089","46519241","Greene County","A","+33562299","-083157643","06",,,97,26,51,27,86,11,46,5
"G1301350","2000","US","3","5","Georgia","13","Gwinnett","135",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"1120765173","10330244","Gwinnett County","A","+33967056","-084058446","06",,,21633,6278,9262,8720,20776,819,8404,858
"G1301370","2000","US","3","5","Georgia","13","Habersham","137",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"720457202","2655014","Habersham County","A","+34570250","-083535083","06",,,829,352,233,406,760,69,189,44
"G1301390","2000","US","3","5","Georgia","13","Hall","139",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1019569684","92027130","Hall County","A","+34296799","-083842959","06",,,8233,3199,3229,3739,7776,439,2997,232
"G1301410","2000","US","3","5","Georgia","13","Hancock","141",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1225799782","14187039","Hancock County","A","+33260235","-083006476","06",,,0,32,0,1,0,0,0,0
"G1301430","2000","US","3","5","Georgia","13","Haralson","143",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"730665981","2722186","Haralson County","A","+33761217","-085196688","06",,,95,0,10,4,95,0,10,0
"G1301450","2000","US","3","5","Georgia","13","Harris","145",,,,,"0",,,,,,,,,,,,,"1800","99","N","9999","9999","9",,,,,,,,,"1200957325","23935358","Harris County","A","+32736893","-084896839","06",,,19,19,42,33,7,12,42,0
"G1301470","2000","US","3","5","Georgia","13","Hart","147",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"601418422","62702783","Hart County","A","+34360857","-082968511","06",,,48,15,61,8,48,0,53,8
"G1301490","2000","US","3","5","Georgia","13","Heard","149",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"766707720","13098708","Heard County","A","+33308636","-085118515","06",,,16,10,9,13,13,3,9,0
"G1301510","2000","US","3","5","Georgia","13","Henry","151",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"835819604","4575051","Henry County","A","+33470734","-084183775","06",,,787,174,439,305,754,33,429,10
"G1301530","2000","US","3","5","Georgia","13","Houston","153",,,,,"0",,,,,,,,,,,,,"4680","99","N","9999","9999","9",,,,,,,,,"975779569","7966959","Houston County","A","+32558055","-083663234","06",,,995,253,664,584,682,85,541,52
"G1301550","2000","US","3","5","Georgia","13","Irwin","155",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"924128425","15329022","Irwin County","A","+31608582","-083284078","06",,,12,33,66,21,12,0,66,0
"G1301570","2000","US","3","5","Georgia","13","Jackson","157",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"886713334","1644714","Jackson County","A","+34146502","-083555602","06",,,328,104,187,157,302,26,173,14
"G1301590","2000","US","3","5","Georgia","13","Jasper","159",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"959391323","8180918","Jasper County","A","+33341969","-083697866","06",,,36,14,15,45,36,0,15,0
"G1301610","2000","US","3","5","Georgia","13","Jeff Davis","161",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"863463103","5279133","Jeff Davis County","A","+31830567","-082619624","06",,,224,90,33,87,207,17,33,0
"G1301630","2000","US","3","5","Georgia","13","Jefferson","163",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1366607272","4943795","Jefferson County","A","+33054128","-082415148","06",,,27,13,9,8,27,0,0,9
"G1301650","2000","US","3","5","Georgia","13","Jenkins","165",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"905996073","6843779","Jenkins County","A","+32795782","-081968659","06",,,54,20,22,71,54,0,22,0
"G1301670","2000","US","3","5","Georgia","13","Johnson","167",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"788037039","5842063","Johnson County","A","+32690626","-082653800","06",,,26,11,18,2,26,0,18,0
"G1301690","2000","US","3","5","Georgia","13","Jones","169",,,,,"0",,,,,,,,,,,,,"4680","99","N","9999","9999","9",,,,,,,,,"1019799727","4254244","Jones County","A","+32987856","-083539745","06",,,31,2,66,25,31,0,55,11
"G1301710","2000","US","3","5","Georgia","13","Lamar","171",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"478683917","2515258","Lamar County","A","+33077540","-084157856","06",,,34,27,29,62,29,5,25,4
"G1301730","2000","US","3","5","Georgia","13","Lanier","173",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"483873307","33685063","Lanier County","A","+31032253","-083064864","06",,,47,33,24,14,44,0,20,4
"G1301750","2000","US","3","5","Georgia","13","Laurens","175",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2103767864","16155787","Laurens County","A","+32498107","-082925022","06",,,145,35,75,69,89,12,70,0
"G1301770","2000","US","3","5","Georgia","13","Lee","177",,,,,"0",,,,,,,,,,,,,"0120","99","N","9999","9999","9",,,,,,,,,"921438960","16160130","Lee County","A","+31745706","-084178609","06",,,77,31,93,77,73,4,86,7
"G1301790","2000","US","3","5","Georgia","13","Liberty","179",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1344337505","216174828","Liberty County","A","+31809525","-081538796","06",,,1519,282,765,800,436,24,517,78
"G1301810","2000","US","3","5","Georgia","13","Lincoln","181",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"546731047","119627466","Lincoln County","A","+33798883","-082456007","06",,,17,14,8,14,17,0,8,0
"G1301830","2000","US","3","5","Georgia","13","Long","183",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1038375404","6668719","Long County","A","+31764099","-081763179","06",,,253,58,134,113,227,10,99,35
"G1301850","2000","US","3","5","Georgia","13","Lowndes","185",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1305927264","16602714","Lowndes County","A","+30848527","-083277179","06",,,770,374,444,321,621,8,365,42
"G1301870","2000","US","3","5","Georgia","13","Lumpkin","187",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"736771861","1031831","Lumpkin County","A","+34541761","-083992360","06",,,168,89,125,37,161,0,125,0
"G1301890","2000","US","3","5","Georgia","13","McDuffie","189",,,,,"0",,,,,,,,,,,,,"0600","99","N","9999","9999","9",,,,,,,,,"672808402","16899120","McDuffie County","A","+33466930","-082477337","06",,,57,21,44,9,47,2,44,0
"G1301910","2000","US","3","5","Georgia","13","McIntosh","191",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1122627946","365385033","McIntosh County","A","+31472512","-081408986","06",,,19,2,2,0,19,0,2,0
"G1301930","2000","US","3","5","Georgia","13","Macon","193",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1044500275","6906037","Macon County","A","+32350146","-084047114","06",,,73,128,15,32,73,0,15,0
"G1301950","2000","US","3","5","Georgia","13","Madison","195",,,,,"0",,,,,,,,,,,,,"0500","99","N","9999","9999","9",,,,,,,,,"735244939","4382980","Madison County","A","+34109553","-083216992","06",,,90,95,104,50,90,0,84,20
"G1301970","2000","US","3","5","Georgia","13","Marion","197",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"950523954","1279491","Marion County","A","+32369162","-084537079","06",,,192,38,46,27,177,2,46,0
"G1301990","2000","US","3","5","Georgia","13","Meriwether","199",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1303494988","5335045","Meriwether County","A","+33002625","-084652379","06",,,9,7,19,22,7,0,19,0
"G1302010","2000","US","3","5","Georgia","13","Miller","201",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"733086780","1748419","Miller County","A","+31166180","-084733801","06",,,5,0,3,0,5,0,3,0
"G1302050","2000","US","3","5","Georgia","13","Mitchell","205",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1325963353","4792956","Mitchell County","A","+31207160","-084171566","06",,,152,57,43,91,140,7,38,5
"G1302070","2000","US","3","5","Georgia","13","Monroe","207",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1024675743","5612119","Monroe County","A","+33032414","-083919346","06",,,59,46,32,21,59,0,32,0
"G1302090","2000","US","3","5","Georgia","13","Montgomery","209",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"635389441","5154042","Montgomery County","A","+32181044","-082524801","06",,,33,29,21,27,33,0,21,0
"G1302110","2000","US","3","5","Georgia","13","Morgan","211",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"905550810","12854379","Morgan County","A","+33592970","-083492962","06",,,40,21,18,19,40,0,18,0
"G1302130","2000","US","3","5","Georgia","13","Murray","213",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"892021622","6392459","Murray County","A","+34776038","-084772091","06",,,616,281,227,250,586,30,213,14
"G1302150","2000","US","3","5","Georgia","13","Muscogee","215",,,,,"0",,,,,,,,,,,,,"1800","99","N","9999","9999","9",,,,,,,,,"560106351","12273208","Muscogee County","N","+32490061","-084942179","06",,,2958,534,1666,1026,1849,160,1509,101
"G1302170","2000","US","3","5","Georgia","13","Newton","217",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"715958451","7142945","Newton County","A","+33569094","-083859105","06",,,321,86,220,137,316,5,186,34
"G1302190","2000","US","3","5","Georgia","13","Oconee","219",,,,,"0",,,,,,,,,,,,,"0500","99","N","9999","9999","9",,,,,,,,,"480973488","1133955","Oconee County","A","+33873241","-083446948","06",,,266,101,142,103,238,22,114,28
"G1302210","2000","US","3","5","Georgia","13","Oglethorpe","221",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1142472771","2742852","Oglethorpe County","A","+33877055","-083111487","06",,,46,2,25,12,42,4,25,0
"G1302230","2000","US","3","5","Georgia","13","Paulding","223",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"811780741","4233552","Paulding County","A","+33902776","-084831116","06",,,322,63,271,134,314,8,257,7
"G1302250","2000","US","3","5","Georgia","13","Peach","225",,,,,"0",,,,,,,,,,,,,"4680","99","N","9999","9999","9",,,,,,,,,"391239596","1032378","Peach County","A","+32573982","-083835036","06",,,379,84,88,167,372,7,85,3
"G1302270","2000","US","3","5","Georgia","13","Pickens","227",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"601210901","1681003","Pickens County","A","+34461344","-084437526","06",,,100,31,77,29,95,5,77,0
"G1302290","2000","US","3","5","Georgia","13","Pierce","229",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"889019723","1685972","Pierce County","A","+31344717","-082219039","06",,,188,32,49,29,180,8,49,0
"G1302310","2000","US","3","5","Georgia","13","Pike","231",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"565586305","2734772","Pike County","A","+33089773","-084377396","06",,,47,1,19,17,47,0,19,0
"G1302330","2000","US","3","5","Georgia","13","Polk","233",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"805850175","2572981","Polk County","A","+34007831","-085178124","06",,,960,348,324,293,850,110,286,38
"G1302350","2000","US","3","5","Georgia","13","Pulaski","235",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"640823044","6391450","Pulaski County","A","+32246506","-083467422","06",,,80,52,30,82,80,0,30,0
"G1302370","2000","US","3","5","Georgia","13","Putnam","237",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"892327693","41706037","Putnam County","A","+33318579","-083354329","06",,,167,42,53,57,152,15,33,20
"G1302390","2000","US","3","5","Georgia","13","Quitman","239",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"392495592","24288073","Quitman County","A","+31857712","-085047248","06",,,12,0,0,0,12,0,0,0
"G1302410","2000","US","3","5","Georgia","13","Rabun","241",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"961008648","15385167","Rabun County","A","+34877522","-083437178","06",,,220,93,80,84,199,21,75,5
"G1302430","2000","US","3","5","Georgia","13","Randolph","243",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1111740855","4255508","Randolph County","A","+31764054","-084745351","06",,,14,6,14,13,7,0,7,7
"G1302450","2000","US","3","5","Georgia","13","Richmond","245",,,,,"0",,,,,,,,,,,,,"0600","99","N","9999","9999","9",,,,,,,,,"839251992","11432240","Richmond County","N","+33429488","-082028396","06",,,1738,483,1033,777,1065,98,761,140
"G1302470","2000","US","3","5","Georgia","13","Rockdale","247",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"338332197","3877444","Rockdale County","A","+33654110","-084021691","06",,,1138,944,449,691,986,146,392,57
"G1302490","2000","US","3","5","Georgia","13","Schley","249",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"434098341","547891","Schley County","A","+32246795","-084320084","06",,,22,4,10,15,22,0,10,0
"G1302510","2000","US","3","5","Georgia","13","Screven","251",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1679454296","18503827","Screven County","A","+32745608","-081632067","06",,,29,13,21,79,25,4,21,0
"G1302530","2000","US","3","5","Georgia","13","Seminole","253",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"616516673","47978014","Seminole County","A","+30956754","-084868391","06",,,194,15,6,18,65,0,3,3
"G1302550","2000","US","3","5","Georgia","13","Spalding","255",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"512691349","4267816","Spalding County","A","+33255567","-084275067","06",,,302,30,200,99,275,25,182,18
"G1302570","2000","US","3","5","Georgia","13","Stephens","257",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"464273383","12877539","Stephens County","A","+34556658","-083288673","06",,,84,9,23,52,84,0,23,0
"G1302590","2000","US","3","5","Georgia","13","Stewart","259",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1188025171","11733568","Stewart County","A","+32086132","-084815050","06",,,0,0,1,10,0,0,1,0
"G1302610","2000","US","3","5","Georgia","13","Sumter","261",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1256877305","18803133","Sumter County","A","+32051968","-084202962","06",,,339,66,40,121,331,8,38,2
"G1302630","2000","US","3","5","Georgia","13","Talbot","263",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1018416278","3948522","Talbot County","A","+32691576","-084544527","06",,,2,3,0,24,2,0,0,0
"G1302650","2000","US","3","5","Georgia","13","Taliaferro","265",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"506054791","197627","Taliaferro County","A","+33568320","-082894881","06",,,5,0,0,0,5,0,0,0
"G1302670","2000","US","3","5","Georgia","13","Tattnall","267",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1252759764","11729696","Tattnall County","A","+32049911","-082035100","06",,,814,112,200,179,761,33,172,28
"G1302690","2000","US","3","5","Georgia","13","Taylor","269",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"977566155","5620795","Taylor County","A","+32549925","-084227022","06",,,20,16,13,17,20,0,4,9
"G1302710","2000","US","3","5","Georgia","13","Telfair","271",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1142421448","7751572","Telfair County","A","+32005072","-082908006","06",,,95,49,23,25,91,4,23,0
"G1302730","2000","US","3","5","Georgia","13","Terrell","273",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"868600580","5851935","Terrell County","A","+31786049","-084437251","06",,,17,25,32,30,17,0,27,5
"G1302750","2000","US","3","5","Georgia","13","Thomas","275",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1420100474","9777426","Thomas County","A","+30872279","-083949960","06",,,173,43,72,130,160,4,54,18
"G1302770","2000","US","3","5","Georgia","13","Tift","277",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"686474357","9871959","Tift County","A","+31458076","-083519231","06",,,1113,298,314,341,918,50,260,46
"G1302790","2000","US","3","5","Georgia","13","Toombs","279",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"949616868","5159644","Toombs County","A","+32176536","-082361368","06",,,845,139,266,283,804,41,241,25
"G1302810","2000","US","3","5","Georgia","13","Towns","281",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"431655083","13849053","Towns County","A","+34931235","-083758821","06",,,83,7,27,14,83,0,27,0
"G1302830","2000","US","3","5","Georgia","13","Treutlen","283",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"519708107","3964857","Treutlen County","A","+32395152","-082577844","06",,,18,15,8,18,18,0,8,0
"G1302850","2000","US","3","5","Georgia","13","Troup","285",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1072008628","83023520","Troup County","A","+33027833","-085034090","06",,,338,156,114,100,338,0,109,5
"G1302870","2000","US","3","5","Georgia","13","Turner","287",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"740808082","9906871","Turner County","A","+31707392","-083621824","06",,,101,26,8,45,88,13,8,0
"G1302890","2000","US","3","5","Georgia","13","Twiggs","289",,,,,"0",,,,,,,,,,,,,"4680","99","N","9999","9999","9",,,,,,,,,"933142151","6881116","Twiggs County","A","+32658820","-083395136","06",,,21,1,19,6,21,0,19,0
"G1302910","2000","US","3","5","Georgia","13","Union","291",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"835397617","16768568","Union County","A","+34856402","-084009393","06",,,22,40,0,10,22,0,0,0
"G1302930","2000","US","3","5","Georgia","13","Upson","293",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"842996575","5580060","Upson County","A","+32897982","-084316150","06",,,166,23,97,46,166,0,83,14
"G1302950","2000","US","3","5","Georgia","13","Walker","295",,,,,"0",,,,,,,,,,,,,"1560","99","N","9999","9999","9",,,,,,,,,"1156636353","1164775","Walker County","A","+34818692","-085291825","06",,,135,50,71,68,127,8,53,18
"G1302970","2000","US","3","5","Georgia","13","Walton","297",,,,,"0",,,,,,,,,,,,,"0520","99","N","9999","9999","9",,,,,,,,,"852571171","2262393","Walton County","A","+33784274","-083741320","06",,,339,55,134,113,323,10,125,9
"G1302990","2000","US","3","5","Georgia","13","Ware","299",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2336928831","10408357","Ware County","A","+31205650","-082412807","06",,,228,185,137,114,164,45,112,25
"G1303010","2000","US","3","5","Georgia","13","Warren","301",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"739498074","3149261","Warren County","A","+33416748","-082663637","06",,,3,2,2,7,3,0,2,0
"G1303030","2000","US","3","5","Georgia","13","Washington","303",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1762073768","10442069","Washington County","A","+32949364","-082782607","06",,,2,4,28,39,2,0,28,0
"G1303050","2000","US","3","5","Georgia","13","Wayne","305",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1669667768","10704521","Wayne County","A","+31601826","-081928050","06",,,166,392,83,94,159,7,76,7
"G1303070","2000","US","3","5","Georgia","13","Webster","307",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"542694470","1868733","Webster County","A","+32047431","-084558131","06",,,48,3,14,12,48,0,5,9
"G1303090","2000","US","3","5","Georgia","13","Wheeler","309",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"771080931","6277076","Wheeler County","A","+32127572","-082742799","06",,,74,2,13,23,74,0,13,0
"G1303110","2000","US","3","5","Georgia","13","White","311",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"625684363","1510192","White County","A","+34615230","-083742570","06",,,67,22,69,40,58,9,61,8
"G1303130","2000","US","3","5","Georgia","13","Whitfield","313",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"751057934","1718369","Whitfield County","A","+34797393","-084972833","06",,,5179,1956,2491,2309,4855,324,2301,190
"G1303150","2000","US","3","5","Georgia","13","Wilcox","315",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"984962820","7768983","Wilcox County","A","+31962807","-083450409","06",,,32,28,11,7,20,12,11,0
"G1303170","2000","US","3","5","Georgia","13","Wilkes","317",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1220854166","6789243","Wilkes County","A","+33767503","-082737630","06",,,39,23,26,3,39,0,18,8
"G1303190","2000","US","3","5","Georgia","13","Wilkinson","319",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1156576514","14114360","Wilkinson County","A","+32835890","-083226599","06",,,57,2,18,22,49,8,18,0
"G1303210","2000","US","3","5","Georgia","13","Worth","321",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1475586100","12577598","Worth County","A","+31556977","-083840672","06",,,60,0,14,29,44,16,14,0
"G1500010","2000","US","4","9","Hawaii","15","Hawaii","001",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"10432517539","2741985846","Hawaii County","A","+19683885","-155393159","06",,,2684,1316,2905,1762,2245,439,2506,399
"G1500030","2000","US","4","9","Hawaii","15","Honolulu","003",,,,,"0",,,,,,,,,,,,,"3320","99","N","9999","9999","9",,,,,,,,,"1553387626","3955125860","Honolulu County","A","+21426126","-158035861","06",,,14893,4347,11717,7287,10239,1160,10071,1127
"G1500050","2000","US","4","9","Hawaii","15","Kalawao","005",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"34201958","101319995","Kalawao County","G","+21188462","-156970983","06",,,0,0,0,0,0,0,0,0
"G1500070","2000","US","4","9","Hawaii","15","Kauai","007",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1612110222","1667768078","Kauai County","A","+21999721","-159477601","06",,,1082,343,991,697,926,136,923,68
