GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E4K001,E4K002,E4K003,E4K004,E4K005,E4K006,E4K007,E4K008
"G1800070","1990","IN",,,,,,,,,,,"99","Benton","007",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001052399","0000000236","Benton County","A","+40605690","-087307734","06",0,11,4,8,0,4,7,14
"G1800090","1990","IN",,,,,,,,,,,"99","Blackford","009",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000427663","0000000766","Blackford County","A","+40473434","-085322568","06",0,28,2,9,0,24,5,39
"G1800110","1990","IN",,,,,,,,,,,"99","Boone","011",,,"3","3480",,,,"9999","2","Indiana","18",,,,,"0001094913","0000001454","Boone County","A","+40051093","-086468727","06",8,42,0,6,0,43,0,44
"G1800130","1990","IN",,,,,,,,,,,"99","Brown","013",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000808838","0000011287","Brown County","A","+39195672","-086228533","06",0,15,0,0,0,30,0,2
"G1800150","1990","IN",,,,,,,,,,,"99","Carroll","015",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000964171","0000007246","Carroll County","A","+40583933","-086564568","06",0,8,2,2,0,4,3,7
"G1800170","1990","IN",,,,,,,,,,,"99","Cass","017",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001069384","0000005324","Cass County","A","+40760855","-086346564","06",0,18,3,6,0,36,5,34
"G1800190","1990","IN",,,,,,,,,,,"99","Clark","019",,,"3","4520",,,,"9999","2","Indiana","18",,,,,"0000971678","0000002758","Clark County","A","+38477432","-085716444","06",12,110,34,17,0,91,9,63
"G1800210","1990","IN",,,,,,,,,,,"99","Clay","021",,,"3","8320",,,,"9999","2","Indiana","18",,,,,"0000926302","0000007179","Clay County","A","+39395617","-087114852","06",0,22,0,19,0,6,6,17
"G1800230","1990","IN",,,,,,,,,,,"99","Clinton","023",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001049272","0000000462","Clinton County","A","+40299618","-086475786","06",0,106,7,32,0,56,11,56
"G1800250","1990","IN",,,,,,,,,,,"99","Crawford","025",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000791768","0000008207","Crawford County","A","+38285114","-086456196","06",0,1,0,0,0,6,0,5
"G1800270","1990","IN",,,,,,,,,,,"99","Daviess","027",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001115632","0000015903","Daviess County","A","+38702369","-087075782","06",0,0,0,3,0,7,0,18
"G1800290","1990","IN",,,,,,,,,,,"21","Dearborn","029",,,"3","1642",,,,"1640","2","Indiana","18",,,,,"0000790581","0000004761","Dearborn County","A","+39149973","-084977076","06",0,24,0,3,0,19,18,10
"G1800310","1990","IN",,,,,,,,,,,"99","Decatur","031",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000965114","0000002107","Decatur County","A","+39304383","-085502051","06",0,22,6,9,0,17,1,15
"G1800330","1990","IN",,,,,,,,,,,"99","DeKalb","033",,,"3","2760",,,,"9999","2","Indiana","18",,,,,"0000939925","0000002491","De Kalb County","A","+41395532","-084999715","06",0,43,10,18,0,33,6,21
"G1800350","1990","IN",,,,,,,,,,,"99","Delaware","035",,,"3","5280",,,,"9999","2","Indiana","18",,,,,"0001018679","0000006819","Delaware County","A","+40225637","-085398211","06",6,248,4,80,0,143,36,111
"G1800370","1990","IN",,,,,,,,,,,"99","Dubois","037",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001113988","0000013308","Dubois County","A","+38364109","-086881299","06",0,23,0,6,0,31,0,62
"G1800390","1990","IN",,,,,,,,,,,"99","Elkhart","039",,,"3","2330",,,,"9999","2","Indiana","18",,,,,"0001201341","0000010434","Elkhart County","A","+41596450","-085858939","06",0,933,45,139,0,544,36,196
"G1800410","1990","IN",,,,,,,,,,,"99","Fayette","041",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000556814","0000000400","Fayette County","A","+39643844","-085176249","06",0,0,0,0,0,34,0,11
"G1800430","1990","IN",,,,,,,,,,,"99","Floyd","043",,,"3","4520",,,,"9999","2","Indiana","18",,,,,"0000383366","0000000811","Floyd County","A","+38319328","-085903094","06",0,41,7,7,0,26,16,64
"G1800450","1990","IN",,,,,,,,,,,"99","Fountain","045",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001024928","0000005766","Fountain County","A","+40122725","-087244396","06",0,25,0,5,0,14,2,8
"G1800470","1990","IN",,,,,,,,,,,"99","Franklin","047",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000999798","0000013812","Franklin County","A","+39422146","-085055745","06",0,15,5,0,0,10,0,23
"G1800490","1990","IN",,,,,,,,,,,"99","Fulton","049",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000954480","0000007424","Fulton County","A","+41043918","-086261468","06",0,52,0,9,0,23,2,17
"G1800510","1990","IN",,,,,,,,,,,"99","Gibson","051",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001266132","0000026478","Gibson County","A","+38309017","-087580462","06",0,4,0,2,0,10,0,8
"G1800530","1990","IN",,,,,,,,,,,"99","Grant","053",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001072353","0000002091","Grant County","A","+40515650","-085654440","06",0,298,73,61,0,284,29,208
"G1800550","1990","IN",,,,,,,,,,,"99","Greene","055",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001404133","0000009872","Greene County","A","+39036893","-086965961","06",0,41,0,13,0,46,0,23
"G1800570","1990","IN",,,,,,,,,,,"99","Hamilton","057",,,"3","3480",,,,"9999","2","Indiana","18",,,,,"0001030863","0000012250","Hamilton County","A","+40071479","-086052183","06",0,173,2,21,0,186,8,77
"G1800590","1990","IN",,,,,,,,,,,"99","Hancock","059",,,"3","3480",,,,"9999","2","Indiana","18",,,,,"0000793011","0000001483","Hancock County","A","+39823136","-085771030","06",6,79,0,0,0,69,0,43
"G1800610","1990","IN",,,,,,,,,,,"99","Harrison","061",,,"3","4520",,,,"9999","2","Indiana","18",,,,,"0001256802","0000004301","Harrison County","A","+38199477","-086115724","06",0,18,0,15,0,0,0,6
"G1800630","1990","IN",,,,,,,,,,,"99","Hendricks","063",,,"3","3480",,,,"9999","2","Indiana","18",,,,,"0001057822","0000001241","Hendricks County","A","+39768519","-086509229","06",0,113,0,53,0,43,11,57
"G1800650","1990","IN",,,,,,,,,,,"99","Henry","065",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001017754","0000005105","Henry County","A","+39931044","-085396942","06",0,42,0,6,0,55,0,26
"G1800670","1990","IN",,,,,,,,,,,"99","Howard","067",,,"3","3850",,,,"9999","2","Indiana","18",,,,,"0000759087","0000002229","Howard County","A","+40481500","-086116261","06",7,148,44,76,0,128,70,135
"G1800690","1990","IN",,,,,,,,,,,"99","Huntington","069",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000990952","0000013851","Huntington County","A","+40828624","-085493672","06",0,59,2,4,0,74,0,11
"G1800710","1990","IN",,,,,,,,,,,"99","Jackson","071",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001319212","0000011497","Jackson County","A","+38907419","-086042927","06",0,20,0,19,0,27,0,9
"G1800730","1990","IN",,,,,,,,,,,"99","Jasper","073",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001450142","0000003515","Jasper County","A","+41025253","-087120484","06",0,19,0,38,0,18,0,34
"G1800750","1990","IN",,,,,,,,,,,"99","Jay","075",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000993682","0000000466","Jay County","A","+40434145","-085009125","06",0,28,9,6,0,38,0,52
"G1800770","1990","IN",,,,,,,,,,,"99","Jefferson","077",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000936004","0000004080","Jefferson County","A","+38785518","-085437427","06",10,14,0,22,0,29,0,0
"G1800790","1990","IN",,,,,,,,,,,"99","Jennings","079",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000977079","0000002919","Jennings County","A","+38996226","-085628193","06",0,0,0,4,0,18,0,11
"G1800810","1990","IN",,,,,,,,,,,"99","Johnson","081",,,"3","3480",,,,"9999","2","Indiana","18",,,,,"0000829374","0000003519","Johnson County","A","+39489565","-086096135","06",0,221,8,49,0,138,7,78
"G1800830","1990","IN",,,,,,,,,,,"99","Knox","083",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001336074","0000021297","Knox County","A","+38690967","-087419017","06",0,68,0,51,0,26,8,54
"G1800850","1990","IN",,,,,,,,,,,"99","Kosciusko","085",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001392173","0000043618","Kosciusko County","A","+41243935","-085860558","06",0,340,17,57,0,259,4,114
"G1800870","1990","IN",,,,,,,,,,,"99","Lagrange","087",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000983105","0000018529","Lagrange County","A","+41642089","-085426159","06",0,101,4,16,0,38,7,20
"G1800890","1990","IN",,,,,,,,,,,"14","Lake","089",,,"3","1602",,,,"2960","2","Indiana","18",,,,,"0001287291","0000335027","Lake County","A","+41475700","-087378699","06",31,10117,1177,3299,0,7198,783,6571
"G1800910","1990","IN",,,,,,,,,,,"99","LaPorte","091",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001549536","0000038359","La Porte County","A","+41549160","-086744997","06",2,397,19,173,0,279,24,92
"G1800930","1990","IN",,,,,,,,,,,"99","Lawrence","093",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001162550","0000008377","Lawrence County","A","+38840431","-086485156","06",0,6,14,0,0,33,0,35
"G1800950","1990","IN",,,,,,,,,,,"99","Madison","095",,,"3","0400",,,,"9999","2","Indiana","18",,,,,"0001171104","0000002021","Madison County","A","+40163100","-085720614","06",0,118,25,126,0,103,0,178
"G1800970","1990","IN",,,,,,,,,,,"99","Marion","097",,,"3","3480",,,,"9999","2","Indiana","18",,,,,"0001026700","0000017359","Marion County","B","+39782000","-086137996","06",128,2470,155,324,53,1569,185,758
"G1800990","1990","IN",,,,,,,,,,,"99","Marshall","099",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001150745","0000014632","Marshall County","A","+41331343","-086262585","06",0,187,4,50,0,68,33,88
"G1801010","1990","IN",,,,,,,,,,,"99","Martin","101",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000870649","0000011377","Martin County","A","+38710796","-086801821","06",0,0,0,0,0,8,0,0
"G1801030","1990","IN",,,,,,,,,,,"99","Miami","103",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000973225","0000004194","Miami County","A","+40768873","-086048286","06",83,76,4,14,0,83,9,63
"G1801050","1990","IN",,,,,,,,,,,"99","Monroe","105",,,"3","1020",,,,"9999","2","Indiana","18",,,,,"0001021433","0000043945","Monroe County","A","+39160850","-086523274","06",0,347,11,191,0,178,53,206
"G1801070","1990","IN",,,,,,,,,,,"99","Montgomery","107",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001306874","0000002092","Montgomery County","A","+40040938","-086892842","06",0,56,2,7,0,19,0,29
"G1801090","1990","IN",,,,,,,,,,,"99","Morgan","109",,,"3","3480",,,,"9999","2","Indiana","18",,,,,"0001052821","0000007551","Morgan County","A","+39481849","-086447292","06",0,28,0,9,0,73,11,35
"G1801110","1990","IN",,,,,,,,,,,"99","Newton","111",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001040868","0000004363","Newton County","A","+40951340","-087402165","06",0,24,4,13,0,53,0,29
"G1801130","1990","IN",,,,,,,,,,,"99","Noble","113",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001064833","0000016833","Noble County","A","+41396191","-085417334","06",0,165,7,23,0,94,0,36
"G1801150","1990","IN",,,,,,,,,,,"99","Ohio","115",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000224635","0000001934","Ohio County","A","+38953656","-084967871","06",0,0,0,0,0,0,0,0
"G1801170","1990","IN",,,,,,,,,,,"99","Orange","117",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001034836","0000022485","Orange County","A","+38535137","-086495327","06",0,7,0,3,0,6,3,4
"G1801190","1990","IN",,,,,,,,,,,"99","Owen","119",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000997707","0000006833","Owen County","A","+39311847","-086838764","06",0,13,0,2,0,2,0,0
"G1801210","1990","IN",,,,,,,,,,,"99","Parke","121",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001152085","0000013719","Parke County","A","+39775039","-087207296","06",0,12,0,5,0,0,0,28
"G1801230","1990","IN",,,,,,,,,,,"99","Perry","123",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000987859","0000012815","Perry County","A","+38081514","-086643691","06",0,15,0,8,0,0,0,0
"G1801250","1990","IN",,,,,,,,,,,"99","Pike","125",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000870739","0000012709","Pike County","A","+38397615","-087233292","06",0,0,0,0,0,0,0,14
"G1801270","1990","IN",,,,,,,,,,,"14","Porter","127",,,"3","1602",,,,"2960","2","Indiana","18",,,,,"0001083187","0000267870","Porter County","A","+41508393","-087070626","06",0,857,70,232,0,699,73,426
"G1801290","1990","IN",,,,,,,,,,,"99","Posey","129",,,"3","2440",,,,"9999","2","Indiana","18",,,,,"0001058070","0000028353","Posey County","A","+38024092","-087861290","06",0,17,5,0,0,15,0,7
"G1801310","1990","IN",,,,,,,,,,,"99","Pulaski","131",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001123281","0000002318","Pulaski County","A","+41037371","-086694563","06",0,24,0,28,0,10,0,2
"G1801330","1990","IN",,,,,,,,,,,"99","Putnam","133",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001244084","0000005888","Putnam County","A","+39667443","-086843561","06",0,31,0,54,0,40,0,59
"G1801350","1990","IN",,,,,,,,,,,"99","Randolph","135",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001173013","0000000944","Randolph County","A","+40149924","-085005507","06",0,85,16,15,0,29,5,19
"G1801370","1990","IN",,,,,,,,,,,"99","Ripley","137",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001156148","0000004024","Ripley County","A","+39101885","-085260258","06",0,21,0,9,0,13,0,2
"G1801390","1990","IN",,,,,,,,,,,"99","Rush","139",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001057617","0000000792","Rush County","A","+39617418","-085468939","06",0,3,0,0,0,13,0,14
"G1801410","1990","IN",,,,,,,,,,,"99","St Joseph","141",,,"3","7800",,,,"9999","2","Indiana","18",,,,,"0001184509","0000009408","St. Joseph County","A","+41617600","-086287560","06",0,1217,93,361,0,914,147,556
"G1801430","1990","IN",,,,,,,,,,,"99","Scott","143",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000493135","0000006072","Scott County","A","+38686821","-085744206","06",0,44,0,12,0,7,8,22
"G1801450","1990","IN",,,,,,,,,,,"99","Shelby","145",,,"3","3480",,,,"9999","2","Indiana","18",,,,,"0001068808","0000001222","Shelby County","A","+39523461","-085791160","06",0,20,0,0,0,46,0,20
"G1801470","1990","IN",,,,,,,,,,,"99","Spencer","147",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001032677","0000006579","Spencer County","A","+38010578","-087010857","06",0,34,0,13,0,14,0,13
"G1801490","1990","IN",,,,,,,,,,,"99","Starke","149",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000801145","0000007778","Starke County","A","+41281940","-086647558","06",0,76,4,21,0,51,9,16
"G1801510","1990","IN",,,,,,,,,,,"99","Steuben","151",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000799625","0000035639","Steuben County","A","+41644107","-085000493","06",0,30,0,5,0,49,0,22
"G1801530","1990","IN",,,,,,,,,,,"99","Sullivan","153",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001158312","0000017712","Sullivan County","A","+39089387","-087414121","06",0,2,3,6,0,5,0,20
"G1801550","1990","IN",,,,,,,,,,,"99","Switzerland","155",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000572911","0000006061","Switzerland County","A","+38824402","-085027328","06",0,0,0,0,0,0,0,0
"G1801570","1990","IN",,,,,,,,,,,"99","Tippecanoe","157",,,"3","3920",,,,"9999","2","Indiana","18",,,,,"0001294579","0000008492","Tippecanoe County","A","+40387950","-086893666","06",0,536,5,244,0,430,23,158
"G1801590","1990","IN",,,,,,,,,,,"99","Tipton","159",,,"3","3850",,,,"9999","2","Indiana","18",,,,,"0000674452","0000000059","Tipton County","A","+40309855","-086051606","06",0,43,5,0,0,53,0,9
"G1801610","1990","IN",,,,,,,,,,,"99","Union","161",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000418437","0000009584","Union County","A","+39622763","-084922882","06",0,0,3,0,0,4,0,7
"G1801630","1990","IN",,,,,,,,,,,"99","Vanderburgh","163",,,"3","2440",,,,"9999","2","Indiana","18",,,,,"0000607577","0000003029","Vanderburgh County","A","+38023000","-087583527","06",0,172,4,70,0,139,23,98
"G1801650","1990","IN",,,,,,,,,,,"99","Vermillion","165",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000665380","0000007893","Vermillion County","A","+39853961","-087462188","06",0,17,0,8,0,4,0,2
"G1801670","1990","IN",,,,,,,,,,,"99","Vigo","167",,,"3","8320",,,,"9999","2","Indiana","18",,,,,"0001044609","0000018580","Vigo County","A","+39428800","-087390270","06",0,111,53,402,0,152,0,95
"G1801690","1990","IN",,,,,,,,,,,"99","Wabash","169",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001070173","0000020468","Wabash County","A","+40847123","-085790382","06",0,52,0,18,0,51,15,25
"G1801710","1990","IN",,,,,,,,,,,"99","Warren","171",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000945111","0000004449","Warren County","A","+40345148","-087355756","06",0,0,0,0,0,5,0,7
"G1801730","1990","IN",,,,,,,,,,,"99","Warrick","173",,,"3","2440",,,,"9999","2","Indiana","18",,,,,"0000994789","0000017574","Warrick County","A","+38098371","-087271484","06",0,72,0,19,0,61,9,28
"G1801750","1990","IN",,,,,,,,,,,"99","Washington","175",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001332440","0000005480","Washington County","A","+38599282","-086105592","06",0,17,0,8,0,18,0,14
"G1801770","1990","IN",,,,,,,,,,,"99","Wayne","177",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001045261","0000002075","Wayne County","A","+39862372","-085006383","06",0,97,21,34,0,59,0,46
"G1801790","1990","IN",,,,,,,,,,,"99","Wells","179",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0000958265","0000001156","Wells County","A","+40727466","-085220403","06",0,55,12,14,0,49,0,17
"G1801810","1990","IN",,,,,,,,,,,"99","White","181",,,"3","9999",,,,"9999","2","Indiana","18",,,,,"0001308619","0000009234","White County","A","+40747598","-086864802","06",0,38,5,15,0,19,0,11
"G1801830","1990","IN",,,,,,,,,,,"99","Whitley","183",,,"3","2760",,,,"9999","2","Indiana","18",,,,,"0000869026","0000006165","Whitley County","A","+41135419","-085503942","06",0,37,8,43,0,32,0,24
"G1900010","1990","IA",,,,,,,,,,,"99","Adair","001",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001474561","0000002596","Adair County","A","+41327177","-094466243","06",0,10,0,0,0,3,0,2
"G1900030","1990","IA",,,,,,,,,,,"99","Adams","003",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001097012","0000004834","Adams County","A","+41033055","-094702444","06",0,3,0,0,0,0,0,8
"G1900050","1990","IA",,,,,,,,,,,"99","Allamakee","005",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001656587","0000049588","Allamakee County","A","+43279771","-091373077","06",0,6,6,0,0,6,0,0
"G1900070","1990","IA",,,,,,,,,,,"99","Appanoose","007",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001285380","0000052072","Appanoose County","A","+40741209","-092868827","06",0,0,0,7,0,6,0,21
"G1900090","1990","IA",,,,,,,,,,,"99","Audubon","009",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001147768","0000001150","Audubon County","A","+41684710","-094905244","06",0,2,0,0,0,0,0,0
"G1900110","1990","IA",,,,,,,,,,,"99","Benton","011",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001855618","0000005337","Benton County","A","+42079571","-092066456","06",0,15,2,0,0,6,0,2
"G1900130","1990","IA",,,,,,,,,,,"99","Black Hawk","013",,,"4","8920",,,,"9999","2","Iowa","19",,,,,"0001469497","0000011876","Black Hawk County","A","+42472700","-092306913","06",8,156,0,55,0,138,14,142
"G1900150","1990","IA",,,,,,,,,,,"99","Boone","015",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001480152","0000005319","Boone County","A","+42036005","-093932980","06",0,2,0,4,0,7,0,15
"G1900170","1990","IA",,,,,,,,,,,"99","Bremer","017",,,"4","8920",,,,"9999","2","Iowa","19",,,,,"0001134250","0000004409","Bremer County","A","+42776080","-092307767","06",6,15,0,0,0,28,0,11
"G1900190","1990","IA",,,,,,,,,,,"99","Buchanan","019",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001479638","0000005424","Buchanan County","A","+42469076","-091839412","06",0,13,2,0,0,5,2,16
"G1900210","1990","IA",,,,,,,,,,,"99","Buena Vista","021",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001488786","0000013678","Buena Vista County","A","+42741556","-095160763","06",0,31,0,5,0,10,8,0
"G1900230","1990","IA",,,,,,,,,,,"99","Butler","023",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001503287","0000003058","Butler County","A","+42728461","-092794795","06",0,7,0,0,0,2,0,2
"G1900250","1990","IA",,,,,,,,,,,"99","Calhoun","025",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001476819","0000005504","Calhoun County","A","+42387708","-094637196","06",0,2,0,2,0,17,0,1
"G1900270","1990","IA",,,,,,,,,,,"99","Carroll","027",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001474612","0000002378","Carroll County","A","+42035044","-094859098","06",0,4,0,0,0,10,0,14
"G1900290","1990","IA",,,,,,,,,,,"99","Cass","029",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001461665","0000001761","Cass County","A","+41329986","-094932888","06",0,16,0,0,0,29,7,4
"G1900310","1990","IA",,,,,,,,,,,"99","Cedar","031",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001501092","0000006308","Cedar County","A","+41772603","-091131895","06",0,18,0,4,0,19,10,8
"G1900330","1990","IA",,,,,,,,,,,"99","Cerro Gordo","033",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001472224","0000017490","Cerro Gordo County","A","+43083076","-093260936","06",0,198,21,76,0,126,8,137
"G1900350","1990","IA",,,,,,,,,,,"99","Cherokee","035",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001494950","0000000471","Cherokee County","A","+42735462","-095623017","06",0,6,0,0,0,0,0,8
"G1900370","1990","IA",,,,,,,,,,,"99","Chickasaw","037",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001307182","0000002144","Chickasaw County","A","+43059704","-092317007","06",0,8,0,6,0,6,0,12
"G1900390","1990","IA",,,,,,,,,,,"99","Clarke","039",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001116687","0000001555","Clarke County","A","+41029073","-093783863","06",0,0,6,0,0,7,0,0
"G1900410","1990","IA",,,,,,,,,,,"99","Clay","041",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001473541","0000009392","Clay County","A","+43084999","-095154581","06",0,9,0,0,0,10,0,2
"G1900430","1990","IA",,,,,,,,,,,"99","Clayton","043",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0002017221","0000036271","Clayton County","A","+42853626","-091340623","06",0,7,0,6,0,10,2,4
"G1900450","1990","IA",,,,,,,,,,,"99","Clinton","045",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001800161","0000039401","Clinton County","A","+41897142","-090534271","06",0,20,0,0,0,36,20,8
"G1900470","1990","IA",,,,,,,,,,,"99","Crawford","047",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001850324","0000001632","Crawford County","A","+42039142","-095383703","06",0,26,2,16,0,4,14,12
"G1900490","1990","IA",,,,,,,,,,,"99","Dallas","049",,,"4","2120",,,,"9999","2","Iowa","19",,,,,"0001519048","0000013635","Dallas County","A","+41688064","-094037986","06",0,88,0,11,0,25,0,2
"G1900510","1990","IA",,,,,,,,,,,"99","Davis","051",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001303508","0000004270","Davis County","A","+40748059","-092410181","06",0,0,0,0,0,14,0,5
"G1900530","1990","IA",,,,,,,,,,,"99","Decatur","053",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001378529","0000002873","Decatur County","A","+40737907","-093783594","06",0,11,0,9,0,14,4,0
"G1900550","1990","IA",,,,,,,,,,,"99","Delaware","055",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001496721","0000003096","Delaware County","A","+42469648","-091366843","06",0,17,0,3,0,13,0,18
"G1900570","1990","IA",,,,,,,,,,,"99","Des Moines","057",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001077896","0000035352","Des Moines County","A","+40920863","-091174917","06",0,96,0,23,0,88,0,32
"G1900590","1990","IA",,,,,,,,,,,"99","Dickinson","059",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0000986969","0000058633","Dickinson County","A","+43377193","-095151784","06",0,5,2,0,0,8,0,5
"G1900610","1990","IA",,,,,,,,,,,"99","Dubuque","061",,,"4","2200",,,,"9999","2","Iowa","19",,,,,"0001575286","0000021776","Dubuque County","A","+42472788","-090885767","06",0,110,12,24,0,88,5,30
"G1900630","1990","IA",,,,,,,,,,,"99","Emmet","063",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001025043","0000017183","Emmet County","A","+43378084","-094669178","06",0,3,0,6,0,8,1,7
"G1900650","1990","IA",,,,,,,,,,,"99","Fayette","065",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001893240","0000001276","Fayette County","A","+42858180","-091845342","06",0,50,10,13,0,23,0,14
"G1900670","1990","IA",,,,,,,,,,,"99","Floyd","067",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001296545","0000001909","Floyd County","A","+43058144","-092789780","06",0,32,2,2,0,28,0,13
"G1900690","1990","IA",,,,,,,,,,,"99","Franklin","069",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001508646","0000001485","Franklin County","A","+42730529","-093260473","06",0,21,0,10,0,14,0,0
"G1900710","1990","IA",,,,,,,,,,,"99","Fremont","071",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001324314","0000014161","Fremont County","A","+40743126","-095599944","06",0,16,0,0,0,10,0,10
"G1900730","1990","IA",,,,,,,,,,,"99","Greene","073",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001472261","0000007048","Greene County","A","+42038345","-094391450","06",0,9,0,4,0,14,0,6
"G1900750","1990","IA",,,,,,,,,,,"99","Grundy","075",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001301612","0000000083","Grundy County","A","+42401201","-092790958","06",0,3,3,0,0,10,0,10
"G1900770","1990","IA",,,,,,,,,,,"99","Guthrie","077",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001529736","0000006364","Guthrie County","A","+41683568","-094501129","06",0,6,2,0,0,10,0,2
