GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E4J001,E4J002,E4J003,E4J004,E4J005,E4J006,E4J007,E4J008,E4J009,E4J010,E4J011,E4J012,E4J013,E4J014,E4J015,E4J016,E4J017,E4J018,E4J019,E4J020,E4J021,E4J022,E4J023,E4J024,E4J025,E4J026,E4J027,E4J028,E4J029,E4J030,E4J031,E4J032,E4J033,E4J034,E4J035,E4J036,E4J037,E4J038,E4J039,E4J040
"G2000010","1990","KS",,,,,,,,,,,"99","Allen","001",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001302932","0000005633","Allen County","A","+37888433","-095300019","06",16,3413,207,1395,0,2756,167,2771,0,79,0,27,0,13,0,58,0,44,7,5,0,15,2,18,0,10,0,11,0,14,0,0,0,14,0,8,0,23,0,4
"G2000030","1990","KS",,,,,,,,,,,"99","Anderson","003",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001509908","0000003561","Anderson County","A","+38215679","-095292028","06",0,1840,96,871,0,1501,34,1474,0,7,0,0,0,10,2,0,0,8,9,4,0,25,0,34,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,5
"G2000050","1990","KS",,,,,,,,,,,"99","Atchison","005",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001119807","0000007004","Atchison County","A","+39530584","-095314265","06",7,3851,259,1462,7,3139,160,2895,0,50,24,155,0,134,36,224,0,23,0,15,0,20,0,17,0,19,8,64,0,26,7,44,0,8,0,37,0,25,0,23
"G2000070","1990","KS",,,,,,,,,,,"99","Barber","007",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002937501","0000005435","Barber County","A","+37224394","-098684494","06",0,1459,29,593,0,1158,31,1133,0,10,0,0,0,0,0,3,0,5,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,9,2,0,0,4,0,6
"G2000090","1990","KS",,,,,,,,,,,"99","Barton","009",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002315573","0000016724","Barton County","A","+38479997","-098755422","06",6,7521,243,2313,0,6091,223,5131,0,71,0,52,7,93,5,57,0,24,5,2,0,8,0,13,0,25,0,6,0,14,0,18,0,87,17,16,0,67,8,37
"G2000110","1990","KS",,,,,,,,,,,"99","Bourbon","011",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001650194","0000004496","Bourbon County","A","+37856089","-094850608","06",19,3167,209,1648,0,2795,155,3056,0,85,7,113,0,75,9,65,0,14,0,2,0,20,3,30,0,2,0,4,0,0,0,4,0,8,0,15,0,6,0,6
"G2000130","1990","KS",,,,,,,,,,,"99","Brown","013",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001478125","0000003940","Brown County","A","+39822919","-095562123","06",25,2523,76,1010,7,1928,65,2146,0,33,4,21,0,22,0,19,0,110,23,55,3,101,12,99,0,0,0,0,0,7,0,13,0,6,0,23,0,7,0,8
"G2000150","1990","KS",,,,,,,,,,,"99","Butler","015",,,"4","9040",,,,"9999","2","Kansas","20",,,,,"0003698917","0000047485","Butler County","A","+37773619","-096833952","06",94,12960,519,4031,8,10558,354,8070,0,56,24,74,0,68,10,27,0,119,16,50,0,154,10,58,0,25,0,15,0,47,13,25,0,54,5,3,0,13,0,42
"G2000170","1990","KS",,,,,,,,,,,"99","Chase","017",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002009683","0000005497","Chase County","A","+38301526","-096593025","06",4,705,45,345,0,559,20,644,0,0,0,2,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2000190","1990","KS",,,,,,,,,,,"99","Chautauqua","019",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001662083","0000008137","Chautauqua County","A","+37154658","-096245394","06",0,910,43,622,0,635,29,1115,0,3,0,9,0,0,0,0,0,28,0,26,0,26,0,22,0,2,0,3,0,2,0,0,0,0,0,3,0,0,0,7
"G2000210","1990","KS",,,,,,,,,,,"99","Cherokee","021",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001520771","0000009970","Cherokee County","A","+37169417","-094845511","06",0,4644,423,2241,0,3812,262,4362,0,14,0,21,0,3,0,35,0,146,23,81,0,114,12,197,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0
"G2000230","1990","KS",,,,,,,,,,,"99","Cheyenne","023",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002641646","0000002462","Cheyenne County","A","+39780842","-101729512","06",0,801,25,375,0,619,8,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"G2000250","1990","KS",,,,,,,,,,,"99","Clark","025",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002524601","0000006529","Clark County","A","+37235596","-099817804","06",0,657,2,189,0,513,2,461,0,0,0,0,0,0,0,0,0,7,2,2,0,12,0,3,0,0,0,3,0,2,0,3,0,13,0,0,0,0,0,3
"G2000270","1990","KS",,,,,,,,,,,"99","Clay","027",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001667641","0000030010","Clay County","A","+39351049","-097164368","06",93,2191,112,954,4,1789,49,1801,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,12,2,0,0,2,0,0,0,2
"G2000290","1990","KS",,,,,,,,,,,"99","Cloud","029",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001853583","0000007351","Cloud County","A","+39482838","-097655909","06",0,2620,81,1203,0,2354,54,2323,0,0,4,5,0,0,0,24,0,9,0,9,0,9,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,7,6,0
"G2000310","1990","KS",,,,,,,,,,,"99","Coffey","031",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001632381","0000063105","Coffey County","A","+38237467","-095734573","06",2,2192,124,773,6,1648,92,1488,0,7,0,0,0,4,0,0,0,0,0,0,0,12,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
