GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSS001,GSS002,GSS003,GSS004,GSS005,GSS006,GSS007,GSS008,GSS009,GSS010,GSS011,GSS012,GSS013,GSS014,GSS015,GSS016,GSS017,GSS018,GSS019,GSS020,GSS021,GSS022,GSS023,GSS024,GSS025,GSS026,GSS027,GSS028
"G1700270","2000","US","2","3","Illinois","17","Clinton","027",,,,,"0",,,,,,,,,,,,,"7040","99","N","9999","9999","9",,,,,,,,,"1228257056","75748972","Clinton County","A","+38598095","-089436849","06",,,9004,303,7837,261,72,0,44,6,9,0,21,0,6,0,29,2,2,0,0,0,68,1,15,7,14,0,32,7
"G1700290","2000","US","2","3","Illinois","17","Coles","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1316453530","4615587","Coles County","A","+39507634","-088259377","06",,,12735,743,12489,662,249,57,419,14,27,5,10,0,68,0,83,18,3,0,11,11,43,2,47,1,134,3,63,23
"G1700310","2000","US","2","3","Illinois","17","Cook","031",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"2449300798","1785436307","Cook County","A","+41837649","-087767817","06",,,827238,40825,701682,30655,213323,47015,279925,45930,2929,364,2472,474,71210,3812,60585,3141,362,24,342,32,124722,10913,80979,9361,31057,2742,24461,2199
"G1700330","2000","US","2","3","Illinois","17","Crawford","033",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1148749411","5708708","Crawford County","A","+39009225","-087757873","06",,,4416,281,4008,197,24,5,15,0,0,2,4,0,15,0,14,0,13,0,5,0,19,0,12,3,28,7,21,0
"G1700350","2000","US","2","3","Illinois","17","Cumberland","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"896179057","2537976","Cumberland County","A","+39272064","-088263215","06",,,2852,176,2491,126,5,0,2,0,0,0,9,0,4,0,9,0,0,0,0,0,14,0,3,0,9,3,13,1
"G1700370","2000","US","2","3","Illinois","17","DeKalb","037",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1642457595","2106707","DeKalb County","A","+41897263","-088739318","06",,,22125,1199,19228,967,757,154,964,356,44,0,43,0,447,38,407,48,37,17,12,0,696,72,450,58,390,12,309,48
"G1700390","2000","US","2","3","Illinois","17","De Witt","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1029716440","19628562","De Witt County","A","+40178001","-088914787","06",,,4423,275,3836,189,0,0,0,0,4,0,5,0,13,0,14,0,0,0,0,0,16,0,6,0,40,2,23,6
"G1700410","2000","US","2","3","Illinois","17","Douglas","041",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1079667857","1442988","Douglas County","A","+39769979","-088236661","06",,,5136,136,4163,129,3,0,5,0,9,0,9,0,19,0,17,0,0,0,0,0,65,9,55,0,54,0,36,0
"G1700430","2000","US","2","3","Illinois","17","Dupage","043",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"864034248","7636291","DuPage County","A","+41856029","-088063587","06",,,221320,6986,184935,5451,6632,431,7193,492,552,33,331,5,19902,583,16307,770,76,12,35,7,7319,471,4833,441,3562,218,3175,142
"G1700450","2000","US","2","3","Illinois","17","Edgar","045",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1614999349","1632124","Edgar County","A","+39668118","-087746849","06",,,4731,273,4133,176,0,0,0,0,8,0,25,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,12,0
"G1700470","2000","US","2","3","Illinois","17","Edwards","047",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"575879274","797996","Edwards County","A","+38398083","-088048393","06",,,1776,82,1495,52,5,0,0,0,0,0,10,0,10,0,5,0,0,0,0,0,0,0,3,0,4,2,6,0
"G1700490","2000","US","2","3","Illinois","17","Effingham","049",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1239826162","3115242","Effingham County","A","+39069653","-088592280","06",,,9069,412,7951,384,10,0,6,0,23,6,7,0,40,0,27,8,0,0,0,0,56,0,11,0,23,1,11,0
"G1700510","2000","US","2","3","Illinois","17","Fayette","051",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1855693082","22975523","Fayette County","A","+39000305","-088990889","06",,,5047,313,4265,252,6,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,10,4,22,1
"G1700530","2000","US","2","3","Illinois","17","Ford","053",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1258473076","1339862","Ford County","A","+40552455","-088223413","06",,,3627,124,3144,108,18,0,24,0,0,0,0,0,9,0,9,0,7,0,0,0,3,0,7,0,11,0,24,0
"G1700550","2000","US","2","3","Illinois","17","Franklin","055",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1067269330","50043890","Franklin County","A","+37974494","-088955152","06",,,8367,702,7430,425,1,0,9,0,14,8,19,2,1,0,6,3,0,0,0,0,28,0,8,2,57,4,77,17
"G1700570","2000","US","2","3","Illinois","17","Fulton","057",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2241955768","43952645","Fulton County","A","+40499297","-090177649","06",,,8538,691,7439,445,28,16,11,0,6,0,11,0,0,0,7,0,0,0,0,0,4,0,11,0,44,0,38,2
"G1700590","2000","US","2","3","Illinois","17","Gallatin","059",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"838450715","12120660","Gallatin County","A","+37782056","-088233803","06",,,1369,122,1168,66,0,0,3,0,23,0,7,0,0,2,3,0,0,0,2,0,3,0,3,0,12,2,7,0
"G1700610","2000","US","2","3","Illinois","17","Greene","061",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1406599772","8424874","Greene County","A","+39369540","-090383013","06",,,3334,260,2905,110,0,0,0,0,9,0,4,2,0,0,7,0,0,0,0,0,6,0,3,0,18,0,15,0
"G1700630","2000","US","2","3","Illinois","17","Grundy","063",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1087542889","27240335","Grundy County","A","+41309747","-088366716","06",,,9903,545,8158,317,12,0,7,0,20,2,24,0,35,0,25,0,5,0,0,0,139,16,94,0,71,16,74,5
"G1700650","2000","US","2","3","Illinois","17","Hamilton","065",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1127069640","1746467","Hamilton County","A","+38096779","-088536242","06",,,1987,63,1669,105,0,0,0,6,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,16,0
"G1700670","2000","US","2","3","Illinois","17","Hancock","067",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2058061147","51585223","Hancock County","A","+40424406","-091187696","06",,,5268,318,4672,173,3,0,0,0,13,0,2,2,5,7,0,0,0,0,0,0,2,0,0,0,21,0,30,0
"G1700690","2000","US","2","3","Illinois","17","Hardin","069",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"461881212","8287483","Hardin County","A","+37470687","-088281762","06",,,950,68,797,42,3,0,2,0,0,0,0,0,9,0,3,0,0,0,0,0,2,2,8,1,5,0,9,0
"G1700710","2000","US","2","3","Illinois","17","Henderson","071",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"981118459","42248329","Henderson County","A","+40833378","-090946340","06",,,2153,109,1787,110,6,0,1,0,10,0,7,0,2,0,0,0,0,0,0,0,12,0,5,0,15,0,7,0
"G1700730","2000","US","2","3","Illinois","17","Henry","073",,,,,"0",,,,,,,,,,,,,"1960","99","N","9999","9999","9",,,,,,,,,"2132110339","6176134","Henry County","A","+41351751","-090120495","06",,,12814,675,11313,407,147,10,76,7,4,6,18,11,24,0,27,6,0,0,0,0,204,14,124,0,130,6,118,21
"G1700750","2000","US","2","3","Illinois","17","Iroquois","075",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2891534000","4151211","Iroquois County","A","+40749055","-087833796","06",,,7747,315,6716,209,43,14,32,6,3,0,11,0,41,0,15,0,0,0,0,0,132,25,115,10,85,4,40,4
"G1700770","2000","US","2","3","Illinois","17","Jackson","077",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1523235581","37301738","Jackson County","A","+37769401","-089314721","06",,,12806,1004,11173,833,1361,196,1558,273,25,7,43,3,358,13,326,17,6,8,6,0,117,10,86,17,179,22,169,8
"G1700790","2000","US","2","3","Illinois","17","Jasper","079",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1280499931","9364378","Jasper County","A","+39009625","-088140296","06",,,2675,149,2238,30,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,11,0
"G1700810","2000","US","2","3","Illinois","17","Jefferson","081",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1478768461","33040991","Jefferson County","A","+38310378","-088915252","06",,,8914,549,7663,359,283,34,477,52,15,13,12,8,45,0,4,0,2,0,7,0,18,10,14,0,59,6,79,3
"G1700830","2000","US","2","3","Illinois","17","Jersey","083",,,,,"0",,,,,,,,,,,,,"7040","99","N","9999","9999","9",,,,,,,,,"956113325","20361792","Jersey County","A","+39083608","-090342138","06",,,5316,363,4815,265,24,0,40,3,17,0,15,14,46,0,24,0,0,0,5,0,0,0,10,0,23,6,13,0
"G1700850","2000","US","2","3","Illinois","17","Jo Daviess","085",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1556790300","45674718","Jo Daviess County","A","+42393139","-090235822","06",,,6050,291,5306,179,3,3,5,0,16,0,11,0,4,0,10,0,0,0,0,0,25,0,15,0,68,7,15,0
"G1700870","2000","US","2","3","Illinois","17","Johnson","087",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"892580171","11004603","Johnson County","A","+37466033","-088894637","06",,,2302,229,2051,124,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,13,0
"G1700890","2000","US","2","3","Illinois","17","Kane","089",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1347922501","9439462","Kane County","A","+41918229","-088338441","06",,,89709,3574,73272,2744,4077,697,4439,745,466,34,223,24,1821,92,1710,78,16,8,51,0,10177,811,6778,708,2083,83,1362,182
"G1700910","2000","US","2","3","Illinois","17","Kankakee","091",,,,,"0",,,,,,,,,,,,,"1602","14","N","3740","9999","9",,,,,,,,,"1752772109","12162047","Kankakee County","A","+41137091","-087842340","06",,,21654,1219,19188,921,2368,414,2788,553,65,35,65,0,198,8,135,9,0,0,16,0,833,98,404,9,277,16,236,39
"G1700930","2000","US","2","3","Illinois","17","Kendall","093",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"830294774","5414036","Kendall County","A","+41641529","-088424929","06",,,14677,456,12118,298,214,0,136,0,37,0,45,0,189,13,125,19,0,0,0,0,548,8,364,46,210,8,179,7
"G1700950","2000","US","2","3","Illinois","17","Knox","095",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1855158547","8851277","Knox County","A","+40939735","-090290825","06",,,12357,998,11568,585,323,91,442,25,8,0,18,0,99,19,102,36,0,8,0,0,161,5,136,4,117,6,154,6
"G1700970","2000","US","2","3","Illinois","17","Lake","097",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1159184623","2383790404","Lake County","A","+42313322","-087983801","06",,,141848,5328,114588,4115,7809,1162,9021,1116,396,17,289,9,6723,199,5912,197,65,0,57,0,11963,709,7084,832,2620,163,2021,110
"G1700990","2000","US","2","3","Illinois","17","La Salle","099",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2939419691","33986314","La Salle County","A","+41332155","-088904285","06",,,26444,1544,22884,1123,199,47,115,29,75,2,45,0,140,5,116,2,12,0,11,0,394,51,214,28,262,43,131,29
"G1701010","2000","US","2","3","Illinois","17","Lawrence","101",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"963433244","5076462","Lawrence County","A","+38723770","-087720031","06",,,3656,302,3288,154,37,0,44,0,0,0,0,6,0,0,2,0,0,0,0,0,4,0,0,0,11,6,0,0
"G1701030","2000","US","2","3","Illinois","17","Lee","103",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1878683655","10158806","Lee County","A","+41774245","-089352013","06",,,8476,533,7333,313,123,20,51,21,12,0,14,0,104,4,36,0,0,0,0,0,36,2,28,5,36,10,76,7
"G1701050","2000","US","2","3","Illinois","17","Livingston","105",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2703325383","4333369","Livingston County","A","+40903217","-088565955","06",,,9431,501,8093,414,41,31,32,16,6,10,15,0,11,0,7,0,0,0,7,0,125,13,46,0,74,0,64,6
"G1701070","2000","US","2","3","Illinois","17","Logan","107",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1600974150","2242885","Logan County","A","+40143596","-089365106","06",,,7100,472,6552,404,31,27,29,0,14,3,11,2,44,0,41,0,0,0,0,0,14,14,16,0,63,7,17,0
"G1701090","2000","US","2","3","Illinois","17","McDonough","109",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1526202798","1943173","McDonough County","A","+40472379","-090670355","06",,,7730,940,7425,786,168,64,196,79,0,8,8,10,110,20,121,14,0,0,0,0,12,12,41,17,89,5,34,39
"G1701110","2000","US","2","3","Illinois","17","McHenry","111",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1563078834","19746035","McHenry County","A","+42296401","-088353772","06",,,70792,2732,57658,1628,402,35,240,23,81,16,85,37,939,15,804,57,13,0,0,0,2115,89,1124,142,630,48,386,34
"G1701130","2000","US","2","3","Illinois","17","McLean","113",,,,,"0",,,,,,,,,,,,,"1040","99","N","9999","9999","9",,,,,,,,,"3065321876","7143544","McLean County","A","+40495251","-088883582","06",,,37499,2242,35550,1959,2068,365,2305,315,102,0,74,3,989,38,712,69,8,65,0,68,409,28,283,8,422,18,338,57
"G1701150","2000","US","2","3","Illinois","17","Macon","115",,,,,"0",,,,,,,,,,,,,"2040","99","N","9999","9999","9",,,,,,,,,"1503546813","12575217","Macon County","A","+39853136","-088953227","06",,,24513,1626,21960,1326,2335,424,2896,474,18,3,30,8,181,22,149,14,14,17,0,13,49,26,35,7,194,49,210,40
"G1701170","2000","US","2","3","Illinois","17","Macoupin","117",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2236646294","10458238","Macoupin County","A","+39231191","-089877556","06",,,12053,668,10332,516,37,18,46,2,18,3,12,4,31,5,9,5,0,0,0,0,34,0,19,0,39,4,42,7
"G1701190","2000","US","2","3","Illinois","17","Madison","119",,,,,"0",,,,,,,,,,,,,"7040","99","N","9999","9999","9",,,,,,,,,"1877788394","39709004","Madison County","A","+38812515","-090018837","06",,,59730,3070,54413,2453,2745,593,3737,578,234,7,241,13,307,9,338,16,31,0,18,0,377,25,173,15,624,98,500,60
"G1701210","2000","US","2","3","Illinois","17","Marion","121",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1482156493","8912592","Marion County","A","+38614865","-088993656","06",,,9418,664,8711,612,180,64,236,52,22,0,22,0,61,6,71,0,1,0,9,0,20,0,9,0,63,12,50,0
"G1701230","2000","US","2","3","Illinois","17","Marshall","123",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"999896316","32253288","Marshall County","A","+41048508","-089295467","06",,,3562,141,2939,112,12,0,9,0,2,0,1,0,0,0,9,0,0,0,0,0,10,0,5,0,8,2,11,0
"G1701250","2000","US","2","3","Illinois","17","Mason","125",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1395854617","63263298","Mason County","A","+40260702","-089913299","06",,,3847,280,3157,176,5,0,3,0,6,0,20,0,5,0,2,7,0,0,0,0,11,0,0,0,27,0,4,0
"G1701270","2000","US","2","3","Illinois","17","Massac","127",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"619145951","7935615","Massac County","A","+37203007","-088742654","06",,,3329,214,2961,159,168,19,186,0,4,0,6,0,13,0,21,0,0,0,0,0,12,0,3,13,11,8,16,6
"G1701290","2000","US","2","3","Illinois","17","Menard","129",,,,,"0",,,,,,,,,,,,,"7880","99","N","9999","9999","9",,,,,,,,,"813896761","2916227","Menard County","A","+40032792","-089811751","06",,,3327,172,3083,88,10,0,0,0,2,2,5,0,7,0,5,0,0,0,0,0,10,0,0,0,17,0,20,0
"G1701310","2000","US","2","3","Illinois","17","Mercer","131",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1453046630","20355646","Mercer County","A","+41201226","-090730320","06",,,4194,327,3774,168,3,2,3,0,0,0,5,0,2,0,20,0,0,0,0,0,3,0,2,2,17,0,8,2
"G1701330","2000","US","2","3","Illinois","17","Monroe","133",,,,,"0",,,,,,,,,,,,,"7040","99","N","9999","9999","9",,,,,,,,,"1005671538","24392101","Monroe County","A","+38329154","-090175233","06",,,7650,213,6744,159,3,0,0,0,12,0,18,0,19,0,24,0,0,0,0,0,6,0,1,0,21,0,28,0
"G1701350","2000","US","2","3","Illinois","17","Montgomery","135",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1822821203","15424970","Montgomery County","A","+39207454","-089500917","06",,,6613,447,6194,292,12,12,8,0,10,5,7,0,17,0,24,2,6,0,0,0,6,6,11,0,24,0,19,0
"G1701370","2000","US","2","3","Illinois","17","Morgan","137",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1473074698","9083856","Morgan County","A","+39712954","-090215325","06",,,8540,562,8165,413,268,73,193,47,29,7,14,0,29,0,47,0,5,0,0,0,26,0,9,12,43,0,57,10
"G1701390","2000","US","2","3","Illinois","17","Moultrie","139",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"869190483","22979514","Moultrie County","A","+39635412","-088626340","06",,,3726,150,3132,88,8,0,0,0,8,2,0,0,2,0,10,0,0,0,0,0,3,0,9,0,20,0,9,0
"G1701410","2000","US","2","3","Illinois","17","Ogle","141",,,,,"0",,,,,,,,,,,,,"6880","99","N","9999","9999","9",,,,,,,,,"1965368722","11485500","Ogle County","A","+42025711","-089308985","06",,,12942,663,10914,475,26,3,13,0,90,8,28,0,47,0,47,0,0,0,0,0,354,32,135,11,129,4,87,5
"G1701430","2000","US","2","3","Illinois","17","Peoria","143",,,,,"0",,,,,,,,,,,,,"6120","99","N","9999","9999","9",,,,,,,,,"1604555696","29430618","Peoria County","A","+40752492","-089665063","06",,,37770,1843,34650,1315,4028,933,5383,867,54,8,52,8,1086,8,619,39,0,0,25,0,444,66,281,33,459,90,407,47
"G1701450","2000","US","2","3","Illinois","17","Perry","145",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1142083828","15153833","Perry County","A","+38054426","-089349016","06",,,4649,367,4241,375,96,46,68,3,23,0,2,3,18,0,13,2,8,0,8,0,18,0,9,0,20,0,24,2
"G1701470","2000","US","2","3","Illinois","17","Piatt","147",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1139651250","808703","Piatt County","A","+39997207","-088577414","06",,,4476,156,3927,102,2,0,2,0,0,0,12,0,13,0,16,0,0,0,0,0,0,0,0,0,27,0,27,0
"G1701490","2000","US","2","3","Illinois","17","Pike","149",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2150464165","48107632","Pike County","A","+39629292","-090886468","06",,,4080,320,3573,186,7,0,0,0,4,1,3,0,7,2,10,0,0,0,0,0,1,0,0,0,15,0,18,3
"G1701510","2000","US","2","3","Illinois","17","Pope","151",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"960531785","9776097","Pope County","A","+37411400","-088573261","06",,,979,118,830,60,19,59,7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0,21,0
"G1701530","2000","US","2","3","Illinois","17","Pulaski","153",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"520032959","6598181","Pulaski County","A","+37197155","-089132572","06",,,1093,104,978,93,353,52,371,51,1,0,0,0,8,0,8,0,0,0,0,0,4,2,0,0,13,0,19,2
"G1701550","2000","US","2","3","Illinois","17","Putnam","155",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"413868679","32235199","Putnam County","A","+41226096","-089274381","06",,,1535,67,1263,74,5,0,5,0,2,0,1,0,0,0,3,0,0,0,0,0,21,0,8,3,7,2,5,0
"G1701570","2000","US","2","3","Illinois","17","Randolph","157",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1498090643","48799890","Randolph County","A","+38079211","-089796877","06",,,7211,398,6309,352,187,48,210,30,0,0,6,0,9,0,7,6,0,0,6,0,8,0,6,0,16,10,18,0
"G1701590","2000","US","2","3","Illinois","17","Richland","159",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"932763611","4838953","Richland County","A","+38722200","-088094535","06",,,3820,318,3364,255,2,0,0,0,0,0,0,0,14,0,22,0,0,0,0,0,11,0,0,0,13,0,24,4
"G1701610","2000","US","2","3","Illinois","17","Rock Island","161",,,,,"0",,,,,,,,,,,,,"1960","99","N","9999","9999","9",,,,,,,,,"1105280677","63208511","Rock Island County","A","+41491433","-090507532","06",,,32486,2133,30778,1705,1613,302,2173,274,156,33,117,17,424,15,279,29,17,0,0,0,1481,115,994,67,493,50,435,48
"G1701630","2000","US","2","3","Illinois","17","St Clair","163",,,,,"0",,,,,,,,,,,,,"7040","99","N","9999","9999","9",,,,,,,,,"1719253745","26278018","St. Clair County","A","+38532682","-090002067","06",,,43446,2305,40339,1523,9940,1936,13517,2025,183,0,174,8,407,8,664,16,11,0,21,0,377,48,283,35,581,62,562,54
"G1701650","2000","US","2","3","Illinois","17","Saline","165",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"992766969","9496536","Saline County","A","+37753831","-088540840","06",,,5259,521,4988,345,151,0,126,14,17,15,8,0,9,0,8,0,0,0,0,0,13,0,12,0,21,6,38,0
"G1701670","2000","US","2","3","Illinois","17","Sangamon","167",,,,,"0",,,,,,,,,,,,,"7880","99","N","9999","9999","9",,,,,,,,,"2248581464","22855343","Sangamon County","A","+39763854","-089646499","06",,,45051,1653,43729,1336,2814,661,3641,364,115,0,97,0,486,40,434,16,5,0,0,0,89,23,158,2,424,10,483,30
"G1701690","2000","US","2","3","Illinois","17","Schuyler","169",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1132637582","10545936","Schuyler County","A","+40143586","-090579100","06",,,1915,148,1681,63,6,0,3,3,9,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5
"G1701710","2000","US","2","3","Illinois","17","Scott","171",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"649869187","4791467","Scott County","A","+39647927","-090478407","06",,,1418,74,1299,53,3,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,3,3,3,0,6,0
"G1701730","2000","US","2","3","Illinois","17","Shelby","173",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1964534133","24712654","Shelby County","A","+39385719","-088799105","06",,,5834,229,4762,169,1,0,2,6,6,0,3,0,26,0,19,0,2,0,0,0,10,0,5,0,13,0,15,0
"G1701750","2000","US","2","3","Illinois","17","Stark","175",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"745755535","714176","Stark County","A","+41097764","-089802300","06",,,1445,110,1188,78,0,0,0,2,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,14,3,2,4
"G1701770","2000","US","2","3","Illinois","17","Stephenson","177",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1461230391","1388256","Stephenson County","A","+42340808","-089642608","06",,,11265,743,10414,443,580,197,724,123,41,0,43,0,19,0,78,0,0,0,0,0,81,10,107,0,96,28,88,23
"G1701790","2000","US","2","3","Illinois","17","Tazewell","179",,,,,"0",,,,,,,,,,,,,"6120","99","N","9999","9999","9",,,,,,,,,"1680540029","23393536","Tazewell County","A","+40557333","-089540657","06",,,33149,1471,28772,1096,96,7,48,0,61,4,105,6,104,0,143,2,0,0,0,0,99,4,76,8,176,12,155,5
"G1701810","2000","US","2","3","Illinois","17","Union","181",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1077851694","15454421","Union County","A","+37461737","-089248116","06",,,3764,620,3609,192,10,29,4,30,11,0,32,0,24,0,24,0,0,0,0,0,36,30,20,3,32,0,15,8
"G1701830","2000","US","2","3","Illinois","17","Vermilion","183",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2328606541","7915927","Vermilion County","A","+40156797","-087692434","06",,,17020,1224,15393,1080,1096,252,1104,274,38,0,19,2,132,0,120,5,0,0,9,0,257,19,132,41,201,41,214,13
"G1701850","2000","US","2","3","Illinois","17","Wabash","185",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"578786625","11115526","Wabash County","A","+38430342","-087816801","06",,,3346,283,2798,133,17,0,0,0,0,0,6,0,5,0,2,0,0,0,0,0,13,0,8,4,28,4,42,13
"G1701870","2000","US","2","3","Illinois","17","Warren","187",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1405122319","1674618","Warren County","A","+40876975","-090622695","06",,,4620,370,4259,224,71,13,47,6,11,0,11,0,9,0,35,0,0,0,0,0,68,0,25,0,19,13,30,12
"G1701890","2000","US","2","3","Illinois","17","Washington","189",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1457147214","3912917","Washington County","A","+38366222","-089376927","06",,,4171,136,3446,103,6,0,0,0,3,10,5,0,3,0,4,2,0,0,2,0,5,0,2,0,13,0,9,3
"G1701910","2000","US","2","3","Illinois","17","Wayne","191",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1848986002","4304987","Wayne County","A","+38419189","-088401393","06",,,4116,283,3418,240,10,0,0,0,3,8,6,0,25,0,22,2,0,0,0,0,5,2,9,0,24,3,11,0
