GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSQ001,GSQ002,GSQ003,GSQ004,GSQ005,GSQ006,GSQ007,GSQ008,GSQ009,GSQ010,GSQ011,GSQ012,GSQ013,GSQ014,GSQ015,GSQ016,GSQ017,GSQ018,GSQ019,GSQ020,GSQ021,GSQ022,GSQ023,GSQ024,GSQ025,GSQ026,GSQ027,GSQ028,GSS001,GSS002,GSS003,GSS004,GSS005,GSS006,GSS007,GSS008,GSS009,GSS010,GSS011,GSS012,GSS013,GSS014,GSS015,GSS016,GSS017,GSS018,GSS019,GSS020,GSS021,GSS022,GSS023,GSS024,GSS025,GSS026,GSS027,GSS028
"G1600810","2000","US","4","8","Idaho","16","Teton","081",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1166436540","539274","Teton County","A","+43720419","-111144179","06",,,1740,408,1199,660,4,0,2,0,6,3,3,5,0,0,12,0,0,0,0,0,109,44,43,47,4,0,10,4,1686,54,1168,31,4,0,2,0,6,0,3,0,0,0,12,0,0,0,0,0,96,13,39,4,4,0,10,0
"G1600830","2000","US","4","8","Idaho","16","Twin Falls","083",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"4985793354","8917541","Twin Falls County","A","+42489080","-114611547","06",,,16135,5815,13574,9833,25,3,12,0,143,48,84,73,102,29,105,66,11,21,8,8,667,200,464,302,285,128,258,182,15207,885,12779,784,19,6,12,0,125,18,84,0,102,0,96,9,11,0,8,0,579,68,395,69,270,15,229,29
"G1600850","2000","US","4","8","Idaho","16","Valley","085",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"9525514622","144625558","Valley County","A","+44655511","-115920089","06",,,2078,946,1617,1320,0,0,0,0,17,4,16,6,2,8,12,2,3,0,0,0,18,0,16,6,37,20,21,17,1931,142,1526,91,0,0,0,0,17,0,16,0,2,0,12,0,3,0,0,0,18,0,16,0,37,0,21,0
"G1600870","2000","US","4","8","Idaho","16","Washington","087",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3771847470","44613238","Washington County","A","+44392256","-116851251","06",,,2143,1051,1818,1736,0,0,0,8,0,5,10,7,33,9,32,26,0,0,0,0,267,18,141,75,91,27,71,42,2055,87,1643,175,0,0,0,0,0,0,10,0,30,3,32,0,0,0,0,0,226,41,112,29,84,7,53,18
"G1700010","2000","US","2","3","Illinois","17","Adams","001",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2218672126","37924714","Adams County","A","+39965452","-091268051","06",,,17595,6547,16093,10863,433,317,413,256,38,16,15,14,76,10,58,20,0,0,16,3,39,18,82,23,144,70,120,69,16705,867,15418,675,352,71,379,34,33,5,15,0,64,12,48,10,0,0,5,11,31,8,61,21,128,16,105,15
"G1700030","2000","US","2","3","Illinois","17","Alexander","003",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"612225870","41845883","Alexander County","A","+37146816","-089289480","06",,,1422,893,1096,1419,444,698,618,614,6,7,0,0,11,0,2,20,0,0,0,0,0,74,0,0,24,9,18,8,1323,99,1017,79,344,100,521,97,6,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,17,7,15,3
"G1700050","2000","US","2","3","Illinois","17","Bond","005",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"984720341","6380583","Bond County","A","+38882098","-089434850","06",,,4257,2274,3603,2668,79,946,65,82,42,18,9,23,3,0,3,10,0,0,0,0,38,8,4,2,22,17,29,15,4031,224,3428,174,57,22,63,2,42,0,6,3,3,0,3,0,0,0,0,0,35,3,2,2,22,0,26,3
"G1700070","2000","US","2","3","Illinois","17","Boone","007",,,,,"0",,,,,,,,,,,,,"6880","99","N","9999","9999","9",,,,,,,,,"728473464","1751854","Boone County","A","+42298948","-088834228","06",,,10462,3319,8764,5579,56,26,35,8,35,0,2,30,51,7,28,21,0,0,0,0,818,174,478,292,225,67,125,69,9977,482,8436,328,46,10,34,1,35,0,2,0,51,0,28,0,0,0,0,0,755,63,458,20,207,18,120,5
"G1700090","2000","US","2","3","Illinois","17","Brown","009",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"791627134","4120069","Brown County","A","+39950254","-090740237","06",,,1392,1155,1217,782,4,1242,0,0,0,7,0,0,4,0,1,5,0,0,0,0,0,46,0,0,1,5,2,5,1340,50,1176,41,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
"G1700110","2000","US","2","3","Illinois","17","Bureau","011",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2249570413","12264509","Bureau County","A","+41386420","-089477767","06",,,9478,3468,8199,5875,7,5,12,18,35,3,27,14,59,15,47,32,2,1,4,6,111,49,61,41,98,14,73,64,8979,486,7899,300,7,0,12,0,35,0,25,2,57,2,47,0,2,0,4,0,103,8,61,0,91,7,73,0
"G1700130","2000","US","2","3","Illinois","17","Calhoun","013",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"657379178","77365087","Calhoun County","A","+39168969","-090653186","06",,,1342,690,1071,911,0,0,0,0,14,0,4,0,0,0,0,9,0,0,0,0,0,0,0,2,14,0,6,0,1263,79,1031,40,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0
"G1700150","2000","US","2","3","Illinois","17","Carroll","015",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1150503971","55830292","Carroll County","A","+42076584","-089953145","06",,,4352,1903,3715,2851,19,8,29,13,5,6,4,8,6,2,33,5,4,0,2,0,44,16,27,19,39,16,14,22,4101,251,3429,286,5,14,17,12,5,0,4,0,6,0,33,0,4,0,2,0,38,6,27,0,39,0,14,0
"G1700170","2000","US","2","3","Illinois","17","Cass","017",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"973578443","20281035","Cass County","A","+39975926","-090269918","06",,,3713,1294,2923,2333,2,9,5,0,4,5,0,6,7,3,16,9,0,0,0,0,133,38,66,57,34,21,5,26,3451,230,2781,140,2,0,5,0,4,0,0,0,7,0,16,0,0,0,0,0,114,19,57,9,34,0,5,0
"G1700190","2000","US","2","3","Illinois","17","Champaign","019",,,,,"0",,,,,,,,,,,,,"1400","99","N","9999","9999","9",,,,,,,,,"2581715418","1881148","Champaign County","A","+40136824","-088216752","06",,,42477,15680,38299,20742,4263,2119,5218,2565,127,28,88,44,3052,2529,2513,2156,6,13,0,10,788,279,452,299,870,291,682,336,40376,1957,36664,1635,3611,652,4696,522,101,26,78,10,2739,308,2306,207,6,0,0,0,751,37,434,18,843,27,631,51
"G1700210","2000","US","2","3","Illinois","17","Christian","021",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1836459714","17232565","Christian County","A","+39528077","-089262544","06",,,8756,3909,7776,6127,25,663,34,5,21,8,15,13,65,24,5,44,12,0,4,0,18,162,11,4,29,25,15,21,8255,485,7448,322,19,6,34,0,19,2,15,0,65,0,2,3,12,0,4,0,18,0,11,0,24,5,15,0
"G1700230","2000","US","2","3","Illinois","17","Clark","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1298887932","8752855","Clark County","A","+39345598","-087802973","06",,,4322,2000,3872,2995,2,0,0,0,7,4,7,0,10,0,12,0,5,0,0,0,0,0,7,0,24,17,19,28,4083,238,3720,152,2,0,0,0,7,0,7,0,6,4,12,0,5,0,0,0,0,0,7,0,22,2,19,0
"G1700250","2000","US","2","3","Illinois","17","Clay","025",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1215348986","1525520","Clay County","A","+38737029","-088470910","06",,,3641,1725,3204,2829,0,0,0,0,3,0,4,5,28,5,19,0,0,0,0,0,11,0,0,0,2,2,9,6,3406,235,3057,147,0,0,0,0,3,0,4,0,28,0,19,0,0,0,0,0,11,0,0,0,2,0,1,8
"G1700270","2000","US","2","3","Illinois","17","Clinton","027",,,,,"0",,,,,,,,,,,,,"7040","99","N","9999","9999","9",,,,,,,,,"1228257056","75748972","Clinton County","A","+38598095","-089436849","06",,,9421,3518,8124,4934,72,1104,66,51,9,8,21,6,6,11,31,26,2,6,0,0,76,139,22,10,14,5,42,33,9004,303,7837,261,72,0,44,6,9,0,21,0,6,0,29,2,2,0,0,0,68,1,15,7,14,0,32,7
"G1700290","2000","US","2","3","Illinois","17","Coles","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1316453530","4615587","Coles County","A","+39507634","-088259377","06",,,13500,6223,13151,9207,306,201,433,109,32,25,10,16,68,43,101,105,3,0,22,0,45,13,48,32,137,26,86,44,12735,743,12489,662,249,57,419,14,27,5,10,0,68,0,83,18,3,0,11,11,43,2,47,1,134,3,63,23
"G1700310","2000","US","2","3","Illinois","17","Cook","031",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"2449300798","1785436307","Cook County","A","+41837649","-087767817","06",,,868630,315550,732413,535095,260759,172649,326027,238231,3293,1868,2946,2352,75054,27365,63726,45249,386,176,374,261,135714,54426,90351,81069,33842,14024,26660,20766,827238,40825,701682,30655,213323,47015,279925,45930,2929,364,2472,474,71210,3812,60585,3141,362,24,342,32,124722,10913,80979,9361,31057,2742,24461,2199
"G1700330","2000","US","2","3","Illinois","17","Crawford","033",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1148749411","5708708","Crawford County","A","+39009225","-087757873","06",,,4697,2712,4205,3559,29,827,15,0,2,0,4,0,15,13,14,15,13,0,5,0,19,31,15,19,35,49,21,34,4416,281,4008,197,24,5,15,0,0,2,4,0,15,0,14,0,13,0,5,0,19,0,12,3,28,7,21,0
"G1700350","2000","US","2","3","Illinois","17","Cumberland","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"896179057","2537976","Cumberland County","A","+39272064","-088263215","06",,,3028,1079,2617,1802,5,5,2,0,0,2,9,2,4,0,9,2,0,0,0,0,14,0,3,0,12,9,14,3,2852,176,2491,126,5,0,2,0,0,0,9,0,4,0,9,0,0,0,0,0,14,0,3,0,9,3,13,1
"G1700370","2000","US","2","3","Illinois","17","DeKalb","037",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1642457595","2106707","DeKalb County","A","+41897263","-088739318","06",,,23350,7433,20195,11530,911,416,1320,617,44,14,43,14,485,401,455,464,54,29,12,13,768,200,508,193,402,66,357,248,22125,1199,19228,967,757,154,964,356,44,0,43,0,447,38,407,48,37,17,12,0,696,72,450,58,390,12,309,48
"G1700390","2000","US","2","3","Illinois","17","De Witt","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1029716440","19628562","De Witt County","A","+40178001","-088914787","06",,,4698,1608,4025,2633,0,40,0,0,4,4,5,0,13,1,14,0,0,0,0,0,16,8,6,4,42,4,29,18,4423,275,3836,189,0,0,0,0,4,0,5,0,13,0,14,0,0,0,0,0,16,0,6,0,40,2,23,6
"G1700410","2000","US","2","3","Illinois","17","Douglas","041",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1079667857","1442988","Douglas County","A","+39769979","-088236661","06",,,5276,1839,4292,3452,3,14,5,5,9,12,9,0,19,5,17,13,0,0,0,0,74,48,55,28,54,10,36,9,5136,136,4163,129,3,0,5,0,9,0,9,0,19,0,17,0,0,0,0,0,65,9,55,0,54,0,36,0
"G1700430","2000","US","2","3","Illinois","17","Dupage","043",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"864034248","7636291","DuPage County","A","+41856029","-088063587","06",,,228377,54808,190410,110716,7077,1610,7685,2652,585,91,336,150,20485,5535,17077,10942,88,2,42,8,7790,3043,5274,3856,3800,1050,3326,1613,221320,6986,184935,5451,6632,431,7193,492,552,33,331,5,19902,583,16307,770,76,12,35,7,7319,471,4833,441,3562,218,3175,142
"G1700450","2000","US","2","3","Illinois","17","Edgar","045",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1614999349","1632124","Edgar County","A","+39668118","-087746849","06",,,5010,2146,4309,3733,0,242,0,10,8,1,25,9,0,2,0,8,0,0,0,0,2,29,0,0,30,21,12,9,4731,273,4133,176,0,0,0,0,8,0,25,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,12,0
"G1700470","2000","US","2","3","Illinois","17","Edwards","047",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"575879274","797996","Edwards County","A","+38398083","-088048393","06",,,1858,784,1547,1329,5,2,0,0,0,1,10,0,10,7,5,17,0,0,0,0,0,0,3,0,6,3,6,6,1776,82,1495,52,5,0,0,0,0,0,10,0,10,0,5,0,0,0,0,0,0,0,3,0,4,2,6,0
"G1700490","2000","US","2","3","Illinois","17","Effingham","049",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1239826162","3115242","Effingham County","A","+39069653","-088592280","06",,,9483,2663,8335,4698,10,5,6,0,29,12,7,9,40,0,35,16,0,0,0,5,56,7,11,9,26,19,11,6,9069,412,7951,384,10,0,6,0,23,6,7,0,40,0,27,8,0,0,0,0,56,0,11,0,23,1,11,0
"G1700510","2000","US","2","3","Illinois","17","Fayette","051",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1855693082","22975523","Fayette County","A","+39000305","-088990889","06",,,5365,2609,4517,3572,7,1086,0,12,4,4,0,11,0,0,0,11,0,0,0,0,5,0,0,6,14,13,23,7,5047,313,4265,252,6,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,10,4,22,1
"G1700530","2000","US","2","3","Illinois","17","Ford","053",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1258473076","1339862","Ford County","A","+40552455","-088223413","06",,,3753,1338,3252,2486,18,6,24,5,0,0,0,1,9,0,9,20,7,0,0,0,3,0,7,0,11,15,24,2,3627,124,3144,108,18,0,24,0,0,0,0,0,9,0,9,0,7,0,0,0,3,0,7,0,11,0,24,0
"G1700550","2000","US","2","3","Illinois","17","Franklin","055",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1067269330","50043890","Franklin County","A","+37974494","-088955152","06",,,9089,5317,7855,8303,1,27,9,11,22,35,21,13,1,6,9,2,0,0,0,0,28,9,10,11,61,48,94,53,8367,702,7430,425,1,0,9,0,14,8,19,2,1,0,6,3,0,0,0,0,28,0,8,2,57,4,77,17
"G1700570","2000","US","2","3","Illinois","17","Fulton","057",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2241955768","43952645","Fulton County","A","+40499297","-090177649","06",,,9238,5008,7890,7033,44,1279,11,33,6,12,11,0,0,5,7,24,0,0,0,0,4,84,11,9,44,26,40,44,8538,691,7439,445,28,16,11,0,6,0,11,0,0,0,7,0,0,0,0,0,4,0,11,0,44,0,38,2
"G1700590","2000","US","2","3","Illinois","17","Gallatin","059",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"838450715","12120660","Gallatin County","A","+37782056","-088233803","06",,,1491,944,1234,1441,0,0,3,5,23,0,7,9,2,4,3,2,0,0,2,0,3,0,3,0,14,0,7,5,1369,122,1168,66,0,0,3,0,23,0,7,0,0,2,3,0,0,0,2,0,3,0,3,0,12,2,7,0
"G1700610","2000","US","2","3","Illinois","17","Greene","061",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1406599772","8424874","Greene County","A","+39369540","-090383013","06",,,3600,1776,3015,2809,0,111,0,0,9,6,6,22,0,0,7,0,0,0,0,6,6,11,3,2,18,14,15,10,3334,260,2905,110,0,0,0,0,9,0,4,2,0,0,7,0,0,0,0,0,6,0,3,0,18,0,15,0
"G1700630","2000","US","2","3","Illinois","17","Grundy","063",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1087542889","27240335","Grundy County","A","+41309747","-088366716","06",,,10448,3368,8475,5745,12,16,7,4,22,5,24,4,35,15,25,12,5,0,0,0,155,28,94,64,87,13,79,30,9903,545,8158,317,12,0,7,0,20,2,24,0,35,0,25,0,5,0,0,0,139,16,94,0,71,16,74,5
"G1700650","2000","US","2","3","Illinois","17","Hamilton","065",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1127069640","1746467","Hamilton County","A","+38096779","-088536242","06",,,2050,1176,1774,1694,0,0,6,6,15,15,8,0,0,0,0,19,0,0,0,0,0,0,5,0,3,11,16,23,1987,63,1669,105,0,0,0,6,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,16,0
"G1700670","2000","US","2","3","Illinois","17","Hancock","067",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2058061147","51585223","Hancock County","A","+40424406","-091187696","06",,,5593,1831,4845,3398,3,11,0,0,13,13,4,0,12,0,0,3,0,0,0,0,2,0,0,0,21,8,30,18,5268,318,4672,173,3,0,0,0,13,0,2,2,5,7,0,0,0,0,0,0,2,0,0,0,21,0,30,0
"G1700690","2000","US","2","3","Illinois","17","Hardin","069",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"461881212","8287483","Hardin County","A","+37470687","-088281762","06",,,1018,807,839,1097,3,116,2,8,0,0,0,0,9,0,3,9,0,0,0,0,4,17,9,2,5,4,9,10,950,68,797,42,3,0,2,0,0,0,0,0,9,0,3,0,0,0,0,0,2,2,8,1,5,0,9,0
"G1700710","2000","US","2","3","Illinois","17","Henderson","071",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"981118459","42248329","Henderson County","A","+40833378","-090946340","06",,,2262,957,1897,1348,6,4,1,5,10,0,7,3,2,3,0,0,0,0,0,0,12,0,5,0,15,4,7,19,2153,109,1787,110,6,0,1,0,10,0,7,0,2,0,0,0,0,0,0,0,12,0,5,0,15,0,7,0
"G1700730","2000","US","2","3","Illinois","17","Henry","073",,,,,"0",,,,,,,,,,,,,"1960","99","N","9999","9999","9",,,,,,,,,"2132110339","6176134","Henry County","A","+41351751","-090120495","06",,,13505,4976,11726,8187,157,39,83,60,10,0,29,6,24,16,33,15,0,0,0,0,218,24,124,39,136,43,139,102,12814,675,11313,407,147,10,76,7,4,6,18,11,24,0,27,6,0,0,0,0,204,14,124,0,130,6,118,21
"G1700750","2000","US","2","3","Illinois","17","Iroquois","075",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2891534000","4151211","Iroquois County","A","+40749055","-087833796","06",,,8068,3127,6925,5396,57,51,38,13,3,1,11,5,41,0,15,22,0,0,0,0,157,51,125,50,89,39,44,44,7747,315,6716,209,43,14,32,6,3,0,11,0,41,0,15,0,0,0,0,0,132,25,115,10,85,4,40,4
"G1700770","2000","US","2","3","Illinois","17","Jackson","077",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1523235581","37301738","Jackson County","A","+37769401","-089314721","06",,,13861,7098,12024,7920,1566,1145,1831,1181,32,28,46,40,371,480,343,447,14,0,6,8,127,120,103,83,201,264,177,171,12806,1004,11173,833,1361,196,1558,273,25,7,43,3,358,13,326,17,6,8,6,0,117,10,86,17,179,22,169,8
"G1700790","2000","US","2","3","Illinois","17","Jasper","079",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1280499931","9364378","Jasper County","A","+39009625","-088140296","06",,,2824,1022,2268,1737,0,0,0,0,2,0,0,0,0,0,1,9,0,0,0,0,0,0,0,7,10,4,11,9,2675,149,2238,30,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,11,0
"G1700810","2000","US","2","3","Illinois","17","Jefferson","081",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1478768461","33040991","Jefferson County","A","+38310378","-088915252","06",,,9499,4620,8022,6364,317,1353,529,245,28,17,20,0,45,0,4,19,2,0,7,0,28,42,14,16,65,47,82,85,8914,549,7663,359,283,34,477,52,15,13,12,8,45,0,4,0,2,0,7,0,18,10,14,0,59,6,79,3
"G1700830","2000","US","2","3","Illinois","17","Jersey","083",,,,,"0",,,,,,,,,,,,,"7040","99","N","9999","9999","9",,,,,,,,,"956113325","20361792","Jersey County","A","+39083608","-090342138","06",,,5679,2323,5080,3488,24,27,43,10,17,4,29,0,46,8,24,0,0,0,5,0,0,0,10,0,29,20,13,16,5316,363,4815,265,24,0,40,3,17,0,15,14,46,0,24,0,0,0,5,0,0,0,10,0,23,6,13,0
"G1700850","2000","US","2","3","Illinois","17","Jo Daviess","085",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1556790300","45674718","Jo Daviess County","A","+42393139","-090235822","06",,,6341,2265,5485,3451,6,6,5,2,16,2,11,4,4,0,10,0,0,0,0,0,25,7,15,0,75,4,15,30,6050,291,5306,179,3,3,5,0,16,0,11,0,4,0,10,0,0,0,0,0,25,0,15,0,68,7,15,0
"G1700870","2000","US","2","3","Illinois","17","Johnson","087",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"892580171","11004603","Johnson County","A","+37466033","-088894637","06",,,2535,2179,2175,1927,0,1756,0,33,4,7,7,3,0,13,0,0,0,0,0,0,0,81,0,5,24,18,13,21,2302,229,2051,124,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,13,0
"G1700890","2000","US","2","3","Illinois","17","Kane","089",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1347922501","9439462","Kane County","A","+41918229","-088338441","06",,,93322,24655,76021,45543,4782,2677,5184,2713,500,153,247,111,1913,495,1788,1009,24,22,51,25,10988,4279,7486,5277,2174,684,1544,1065,89709,3574,73272,2744,4077,697,4439,745,466,34,223,24,1821,92,1710,78,16,8,51,0,10177,811,6778,708,2083,83,1362,182
"G1700910","2000","US","2","3","Illinois","17","Kankakee","091",,,,,"0",,,,,,,,,,,,,"1602","14","N","3740","9999","9",,,,,,,,,"1752772109","12162047","Kankakee County","A","+41137091","-087842340","06",,,22886,8413,20109,13548,2782,2108,3341,2341,100,48,65,52,206,19,144,142,0,0,16,3,931,110,413,281,293,74,275,107,21654,1219,19188,921,2368,414,2788,553,65,35,65,0,198,8,135,9,0,0,16,0,833,98,404,9,277,16,236,39
"G1700930","2000","US","2","3","Illinois","17","Kendall","093",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"830294774","5414036","Kendall County","A","+41641529","-088424929","06",,,15133,3248,12416,6619,214,40,136,11,37,10,45,31,202,9,144,75,0,13,0,0,556,142,410,160,218,47,186,85,14677,456,12118,298,214,0,136,0,37,0,45,0,189,13,125,19,0,0,0,0,548,8,364,46,210,8,179,7
"G1700950","2000","US","2","3","Illinois","17","Knox","095",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1855158547","8851277","Knox County","A","+40939735","-090290825","06",,,13371,6021,12156,9251,414,1514,467,370,8,42,18,22,118,31,138,91,8,0,0,0,166,252,140,76,123,36,160,58,12357,998,11568,585,323,91,442,25,8,0,18,0,99,19,102,36,0,8,0,0,161,5,136,4,117,6,154,6
"G1700970","2000","US","2","3","Illinois","17","Lake","097",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1159184623","2383790404","Lake County","A","+42313322","-087983801","06",,,154708,36377,120065,75081,10797,4123,10648,4838,578,108,320,166,7343,1687,6211,3672,102,6,57,64,12995,3374,7956,5389,3148,792,2253,1160,141848,5328,114588,4115,7809,1162,9021,1116,396,17,289,9,6723,199,5912,197,65,0,57,0,11963,709,7084,832,2620,163,2021,110
"G1700990","2000","US","2","3","Illinois","17","La Salle","099",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2939419691","33986314","La Salle County","A","+41332155","-088904285","06",,,28017,11949,24012,18876,246,1014,144,101,77,25,45,15,145,44,118,94,12,0,11,27,445,324,242,214,305,93,160,113,26444,1544,22884,1123,199,47,115,29,75,2,45,0,140,5,116,2,12,0,11,0,394,51,214,28,262,43,131,29
"G1701010","2000","US","2","3","Illinois","17","Lawrence","101",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"963433244","5076462","Lawrence County","A","+38723770","-087720031","06",,,3958,1735,3442,3006,37,9,44,29,0,0,6,0,0,0,2,13,0,0,0,7,4,0,0,5,17,1,0,12,3656,302,3288,154,37,0,44,0,0,0,0,6,0,0,2,0,0,0,0,0,4,0,0,0,11,6,0,0
"G1701030","2000","US","2","3","Illinois","17","Lee","103",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1878683655","10158806","Lee County","A","+41774245","-089352013","06",,,9012,3871,7646,5555,143,1096,72,337,12,18,14,5,108,20,36,53,0,6,0,0,38,110,33,35,46,26,83,32,8476,533,7333,313,123,20,51,21,12,0,14,0,104,4,36,0,0,0,0,0,36,2,28,5,36,10,76,7
"G1701050","2000","US","2","3","Illinois","17","Livingston","105",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2703325383","4333369","Livingston County","A","+40903217","-088565955","06",,,9950,3614,8507,6297,72,1099,48,686,16,10,15,20,11,17,7,21,0,0,7,0,138,104,46,59,74,25,70,71,9431,501,8093,414,41,31,32,16,6,10,15,0,11,0,7,0,0,0,7,0,125,13,46,0,74,0,64,6
"G1701070","2000","US","2","3","Illinois","17","Logan","107",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1600974150","2242885","Logan County","A","+40143596","-089365106","06",,,7590,3471,6956,4974,58,1163,29,570,17,2,13,12,44,52,41,33,0,0,0,0,28,7,16,2,70,20,17,29,7100,472,6552,404,31,27,29,0,14,3,11,2,44,0,41,0,0,0,0,0,14,14,16,0,63,7,17,0
"G1701090","2000","US","2","3","Illinois","17","McDonough","109",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1526202798","1943173","McDonough County","A","+40472379","-090670355","06",,,8695,3845,8211,5287,232,171,275,166,8,12,18,0,130,113,135,160,0,0,0,0,24,20,58,25,94,44,73,23,7730,940,7425,786,168,64,196,79,0,8,8,10,110,20,121,14,0,0,0,0,12,12,41,17,89,5,34,39
